case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,DualPathFresh_e09_style_specificity,DualPathFresh_e09_structure_preservation,DualPathFresh_e09_artifact_control,DualPathFresh_e09_note
Rococo__giovanni-domenico-tiepolo_christ-s-fall-on-the-way-to-calvary-1772__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,DualPathFresh_e09,DualPathFresh_e09,4,2,3,2,Overly blurred and washed out; loses both Rococo elegance and source structure. Heavy vignetting and loss of detail.,5,4,4,"Strong Rococo feel with soft pastels, ornate framing vibe, and dreamy glow. Structure mostly preserved but slightly softened. Minimal artifacts.",3,5,5,Excellent structure retention and clean output. Style is muted — lacks distinct Rococo flair but avoids artifacts well.
Rococo__joshua-reynolds_colonel-george-k-h-coussmaker-grenadier-guards__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed-out; loses both style fidelity and structural clarity. Appears more like a smudged copy than impressionistic.,5,5,5,Excellent impressionistic brushwork with vibrant color transitions while preserving figure and horse structure cleanly. Minimal artifacts.,3,3,3,Moderate impressionist effect but suffers from excessive haze and loss of detail in background and clothing. Some structural ambiguity remains.
Early_Renaissance__pisanello_stork-1430__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Preserves bird structure well but lacks Renaissance stylistic elements; appears as a faded sketch with minimal artistic rendering.,5,5,5,"Excellent match to Early Renaissance style: rich earth tones, soft shading, aged parchment texture, and anatomical fidelity without distortion.",3,4,4,"Moderate stylistic attempt with muted tones and some texture, but lacks depth and detail; structure preserved but style feels incomplete."
Rococo__bernardo-bellotto_view-of-dresden-the-dresden-fortifications-moat-with-a-bridge-between-gate-and-post-mile-pillar__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Very faint, washed-out style; lacks color and line definition of Ukiyo-e. Structure is preserved but overly desaturated.",5,5,5,"Excellent Ukiyo-e style transfer with bold outlines, flat color blocks, and traditional composition. Structure is well-preserved and artifacts are minimal.",3,3,2,Style is somewhat impressionistic or watercolor-like rather than distinctly Ukiyo-e. Heavy blurring and smudging introduce significant artifacts and obscure structure.
Ukiyo_e__kitagawa-utamaro_upon-my-oath__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Minimal style transfer; retains source aesthetic with slight texture overlay. Structure preserved but lacks Renaissance features. Artifacts include smudging and inconsistent rendering.,5,5,5,"Excellent Early Renaissance style: chiaroscuro, rich colors, realistic anatomy, and painterly texture. Structure perfectly preserved. No visible artifacts.",3,4,3,Moderate style transfer with some Renaissance-like shading and color warmth. Structure mostly intact but slightly blurred. Minor artifacts in background and clothing folds.
Impressionism__mihaly-munkacsy_dusty-country-road-ii-1883__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly washed out; lacks brushwork texture and color vibrancy of Impressionism. Structure is preserved but style is weak.,5,5,5,"Excellent Impressionist style: visible brushstrokes, rich color blending, atmospheric lighting. Structure faithfully preserved with no artifacts.",3,4,3,"Some Impressionist feel in sky and water, but overly diffuse and muddy. Structure mostly intact but lacks crispness and stylistic coherence."
Ukiyo_e__utagawa-kuniyoshi_a-record-of-origins-of-the-great-country-of-japan__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,DualPathFresh_e09,Seedream_repaired750,4,2,4,3,Minimal style transfer; retains source sketchiness with no Renaissance coloring or texture. Structure preserved but lacks artistic intent.,5,4,5,"Strong Early Renaissance style: rich colors, chiaroscuro, gold leaf, and religious iconography. Minor structural distortion in wave/boat but overall faithful and artifact-free.",3,5,4,"Good structural fidelity to source; mild Renaissance tinting applied but lacks depth, texture, or compositional richness. Some smudging artifacts near edges."
Minimalism__dan-flavin_greens-crossing-greens-to-piet-mondrian-who-lacked-green-1966__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Muted green tone but lacks Renaissance texture and architectural detail; structure preserved but overly smooth and flat.,5,5,5,Excellent match to Early Renaissance palette and lighting; clean geometry with no artifacts; faithful structural replication.,3,4,2,Some stylistic haze and blur introduce artifacts; structure mostly intact but softened; style impression is vague.
Ukiyo_e__utagawa-kunisada_the-actor__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very low Rococo style transfer; output resembles a faded, overexposed version of the source with minimal stylistic influence. Structure is somewhat preserved but heavily distorted by artifacts and lack of color/style integration.",5,5,5,"Excellent Rococo style transfer: soft pastel palette, ornate framing, and painterly texture applied cohesively. Source structure (figures, composition) is well-preserved. No visible artifacts; clean, high-quality output.",3,4,3,"Moderate Rococo influence with some ornamental framing and soft tones, but style is inconsistent and partially washed out. Structure is mostly preserved but suffers from blurring and smudging artifacts, especially in background and figure edges."
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,Strong minimalism with bold flat colors and simplified forms; source structure well preserved; no visible artifacts.,3,4,3,"Some minimalism via soft tones and reduced detail, but hazy and indistinct; structure mostly intact; mild artifacts from blur."
Rococo__joseph-wright_mr-and-mrs-thomas-coltman__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed out, low contrast, and lacks Renaissance painterly texture; structure is preserved but style is weak and blurry.",5,5,5,Excellent match to the target style with rich colors and soft lighting; structure is perfectly preserved with no visible artifacts.,3,4,3,Better than LBM but still suffers from overexposure and haze; structure is mostly intact but style application is inconsistent.
Early_Renaissance__leonardo-da-vinci_studies-of-a-bewalking__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,1,Fails to apply any impressionist style; output is nearly identical to source sketch with no color or brushwork transformation.,5,5,5,"Excellent impressionist rendering with visible brushstrokes, warm palette, and soft edges while perfectly preserving the bear’s anatomy and pose.",2,3,2,Minimal stylistic change; retains sketch-like quality with faint color washes but lacks true impressionist texture or vibrancy.
Rococo__antoine-watteau_the-delicate-musician__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Faint, washed-out output with minimal stylistic interpretation; structure is preserved but lacks clarity and artistic intent.",5,5,5,"Strong geometric minimalism with clean lines, flat colors, and clear subject structure — excellent alignment with target style and source content.",3,3,3,"Soft, dreamy abstraction with some structural loss; style is ambiguous — neither fully minimalist nor faithful to source detail."
Rococo__thomas-gainsborough_a-peasant-girl-with-dog-and-jug-1785__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very washed out and low contrast; style is vague and lacks Ukiyo-e characteristics. Structure is preserved but details are lost in haze.,5,5,5,"Excellent transfer of Ukiyo-e aesthetic with appropriate color palette, texture, and line work. Structure is perfectly preserved with no artifacts.",3,4,3,"Shows some Ukiyo-e influence in background and color, but lacks the crispness and distinct style of the reference. Some blurring and softness reduce clarity."
Impressionism__eugene-boudin_the-port-ships-at-dock__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Very faint, washed-out style transfer; lacks Ukiyo-e color and linearity. Structure preserved but style is nearly absent.",5,5,5,"Excellent Ukiyo-e style: bold outlines, flat color blocks, warm palette, and stylized clouds. Structure perfectly preserved with no artifacts.",3,4,4,"Moderate style transfer with some color shifts and soft edges, but lacks crisp Ukiyo-e lines. Minor smudging in water reflections."
Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,"Excellent minimalism with clean geometry, strong structure retention, and no visible artifacts.",2,2,2,Heavy blur and smearing obscure structure and style; minimalism not effectively conveyed.
Ukiyo_e__hiroshige_hakone-kosuizu__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,Seedream_repaired750,4,2,5,3,Preserves source structure well but fails to apply Early Renaissance style; appears as a faded version of the original with minimal stylistic transfer.,5,4,5,"Strongly applies Early Renaissance style (fresco texture, muted palette, classical composition) while preserving key structural elements and showing minimal artifacts.",3,3,2,Shows some stylistic influence but introduces noticeable smudging and color bleeding artifacts; structure is partially distorted.
Minimalism__william-scott_bowl-white-on-grey-1962__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,"Preserves source structure perfectly with minimal artifacts, but fails to apply Rococo style—output is nearly identical to source.",5,3,3,"Strongly applies Rococo ornamental style with gold, scrollwork, and pastel tones; however, distorts original shield shape into a decorative cartouche, introducing structural deviation and minor blending artifacts.",2,4,2,"Maintains reasonable structure but applies only faint, washed-out Rococo hints; suffers from heavy blur and smudging artifacts that obscure both style and form."
Rococo__dmitry-levitzky_portrait-of-unknown-woman-with-a-rose-1788__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; image appears washed out and lacks Ukiyo-e characteristics. Structure is preserved but details are lost in haze.,5,5,5,Excellent transfer of Ukiyo-e style with bold outlines and flat coloring. Structure is perfectly preserved and artifacts are minimal.,3,4,3,Shows some stylistic influence but is heavily obscured by a smoky or foggy artifact that reduces clarity and style definition.
Rococo__antoine-pesne_carl-heinrich-graun__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,2,"Very hazy, low contrast; style transfer is weak and indistinct. Structure preserved but obscured by foggy artifacts.",5,5,5,Excellent Early Renaissance style match with rich color and texture. Structure perfectly preserved. No visible artifacts.,2,4,2,Similar to LBM: overly hazy and desaturated. Style transfer is minimal and obscured. Structure intact but visually degraded.
Minimalism__joan-hernandez-pijuan_untitled-120-1999__to__Impressionism,Minimalism,Impressionism,DualPathFresh_e09,DualPathFresh_e09,LBM-Knee_e13,DualPathFresh_e09,4,2,5,4,Preserves source structure perfectly but fails to apply Impressionist style; output is nearly identical to source with minimal stylistic transformation.,3,4,3,"Applies some reddish brushstroke-like texture suggesting Impressionism, but introduces visible artifacts and slight structural distortion in the arch lines.",5,4,5,Best balance: clearly applies Impressionist brushwork and color palette while preserving the original arch structure cleanly with minimal artifacts.
Rococo__giovanni-domenico-tiepolo_the-new-world-1797__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly stylized with vertical streaking; loses Renaissance texture and color fidelity; structure partially preserved but distorted by artifacts.,5,5,5,"Excellent match to Early Renaissance style — rich palette, chiaroscuro, compositional harmony; source structure faithfully retained; minimal artifacts.",3,4,3,Moderate style transfer with some Renaissance tones; structure mostly intact but figures appear smeared; minor blurring and color bleeding present.
Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to capture minimalism; output is overly textured and abstract, losing both style and structural clarity.",5,5,5,"Excellent minimalism: clean shapes, flat colors, simplified forms. Structure preserved well within stylized frame. No artifacts.",2,3,2,"Similar to LBM — too noisy and painterly, lacks minimalism’s simplicity. Structure partially retained but obscured by texture."
Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly desaturated and washed-out; lacks Impressionist color vibrancy and brushwork texture. Structure is preserved but appears faded and indistinct.,5,5,5,"Excellent Impressionist rendering with visible brushstrokes, rich color palette, and atmospheric lighting. Source structure is faithfully preserved without distortion or artifacts.",3,4,3,"Moderate style transfer with some Impressionist haze and soft edges, but colors are muted and structure slightly blurred. Minor smudging artifacts present in background areas."
Impressionism__claude-monet_bordighera-the-house-of-gardener__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly abstracted, loses architectural and foliage detail; style is vague and not clearly Early Renaissance.",5,5,5,"Excellent preservation of source structure with strong Early Renaissance stylistic rendering — muted tones, classical composition, and textured brushwork.",3,4,3,Moderate style transfer with some haze and loss of contrast; structure mostly preserved but lacks clarity and depth.
Minimalism__mira-schendel_untitled-1984__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very blurry, loses all structural detail and Ukiyo-e texture; color is close but lacks stylistic fidelity.",5,5,5,"Excellent preservation of source structure with strong Ukiyo-e stylization — visible brushwork, gradient sky, and traditional composition elements.",3,2,2,"Overly smoothed and noisy; structure is distorted, and Ukiyo-e traits are weakly represented with heavy artifacts."
Rococo__carl-ludwig-johann-christineck_nikolai-mordvinov-1771__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Heavy foggy blur obscures detail; style transfer is weak and indistinct, lacking Renaissance texture or chiaroscuro.",5,5,5,"Excellent preservation of source structure with strong Early Renaissance painterly style — warm tones, soft blending, and classical portrait aesthetics.",3,4,3,Moderate style transfer with some Renaissance feel but noticeable smudging and loss of fine detail; structure mostly preserved but artifacts reduce quality.
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,Moderate Early Renaissance style with muted colors and some texture; structure mostly preserved but slightly blurred; noticeable artifacts in architectural details and figures.,5,5,5,Excellent Early Renaissance style fidelity with rich color palette and period-appropriate textures; structure perfectly preserved; minimal to no artifacts.,4,4,4,Good Early Renaissance style with appropriate color tones and some textural detail; structure well preserved but slightly over-smoothed; minor artifacts in background elements.
Impressionism__eugene-boudin_trouville-the-fish-market-1884__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly desaturated and muddy; loses Renaissance color richness and detail. Structure is preserved but style is too degraded.,5,5,5,Excellent match to Early Renaissance palette and texture. Preserves architectural and figure structure cleanly with minimal artifacts.,3,4,3,Moderate style transfer with some haze and loss of contrast. Structure is mostly intact but suffers from smudging and color bleed.
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faded, washed-out appearance; lacks Ukiyo-e color and line quality. Structure is somewhat preserved but overly blurred. Heavy artifacts and loss of detail.",5,5,5,"Excellent Ukiyo-e style transfer with bold outlines, flat color regions, and traditional composition. Source structure is perfectly preserved. No visible artifacts.",3,4,3,"Moderate Ukiyo-e influence with some color flattening, but lacks crisp lines and traditional aesthetic. Structure is mostly preserved. Some smudging and softness in details."
Ukiyo_e__katsushika-hokusai_fishing-in-the-bay-uraga__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faded, washed-out appearance; lacks Renaissance color depth and texture. Structure is preserved but overly degraded. Heavy artifacts from over-smoothing or incorrect style mapping.",5,5,5,Excellent match to Early Renaissance palette and lighting. Preserves all structural elements of source. Clean output with no visible artifacts. Best overall result.,3,4,3,Moderate style transfer — some Renaissance tones present but inconsistent. Structure mostly preserved. Noticeable haze/artifacts in sky and water areas reduce quality.
Minimalism__agnes-martin_happy-valley-1967__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,2,Output is nearly blank; fails to preserve source structure or apply minimalism style. No discernible content.,5,5,5,"Perfectly preserves the source’s abstract geometric structure while applying a clean, minimalist aesthetic with soft gradients and no artifacts. Matches target style reference closely.",3,3,3,Retains some structural elements but introduces heavy blur and noise. Style is vague — not clearly minimalist nor faithful to source. Moderate artifact presence.
Rococo__dmitry-levitzky_portrait-of-unknown-woman-with-a-rose-1788__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,Strong minimalism with clean geometry and flat colors; excellent structure retention and no visible artifacts.,3,3,3,Moderate minimalism with some abstraction; structure is recognizable but softened; mild blurring artifacts present.
Early_Renaissance__filippo-lippi_adoration-of-the-magi-detail-2__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed-out, low contrast; style is barely recognizable as Ukiyo-e. Structure is preserved but lacks definition. Heavy blurring and loss of detail.",5,5,5,"Excellent Ukiyo-e style transfer with bold lines, flat color areas, and characteristic composition. Source structure is perfectly preserved. No visible artifacts.",3,4,2,"Some Ukiyo-e elements present but overly diffuse and hazy. Structure is mostly intact but suffers from significant smudging and ghosting artifacts, especially in the sky and background."
Minimalism__ronald-davis_zig-zag-times-two-1966__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,"Perfectly preserves the zigzag geometry and clean edges of the source object. However, it applies almost no Rococo style—just a flat purple fill with minimal shading, failing to capture ornamental or painterly qualities.",5,3,3,"Strongly captures Rococo aesthetics: ornate gilded frame, floral motifs, soft pastel gradients, and painterly texture. Structure is somewhat distorted—the zigzag shape is warped into an irregular polygon, and perspective is inconsistent. Minor artifacts in edge blending.",1,2,2,"Fails to apply any discernible Rococo style; appears as a blurred, low-resolution version of the source with no stylistic elements. Structure is heavily degraded with smearing and loss of edge definition. High artifact presence due to poor reconstruction."
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly soft and hazy; lacks Renaissance color depth and texture. Structure is preserved but blurred. Heavy artifacting from diffusion-like smoothing.,5,5,5,"Excellent match to Early Renaissance style: rich pigments, chiaroscuro, and painterly texture. Structure perfectly preserved. No visible artifacts.",3,4,3,Moderate style transfer with some Renaissance tones but washed out. Structure mostly intact. Mild smudging and loss of fine detail (artifact).
Ukiyo_e__utagawa-kunisada_not_detected_240381(1)__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to apply Impressionist style; output resembles a faded or degraded version of the source with no brushwork or color shifts typical of Impressionism. Structure is preserved but visually muddy.,5,5,5,"Excellent Impressionist rendering: visible brushstrokes, warm palette, soft edges, and atmospheric lighting. Source structure (figures, pose, text) is perfectly preserved. No artifacts or distortions.",3,4,3,"Shows some Impressionist traits (softness, color blending) but lacks distinct brushwork and vibrancy. Structure is mostly intact but slightly blurred. Minor artifacts in texture consistency."
Minimalism__tony-smith_die-1968__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Cube structure preserved well, but style transfer is weak and lacks impressionistic brushwork or color variation.",5,5,5,Excellent impressionistic texture applied while preserving cube geometry and lighting; no visible artifacts.,3,3,2,"Some impressionistic blur and color shifts, but structure is distorted and artifacts (smearing, noise) are noticeable."
Impressionism__william-merritt-chase_gray-day-on-the-lagoon-a-passenger-boat-venice__to__Impressionism,Impressionism,Impressionism,DualPathFresh_e09,DualPathFresh_e09,Seedream_repaired750,DualPathFresh_e09,4,3,4,3,Moderate impressionistic texture but overly washed out; structure preserved but lacks color vibrancy and brushstroke definition.,4,5,4,Strong structural fidelity with good impressionistic sky and water tones; slight over-smoothing reduces textural richness.,5,4,5,"Best balance: vivid impressionistic brushwork, clean artifacts, and well-preserved scene structure with natural color blending."
Minimalism__ruth-vollmer_trimer-monomer-dimer-1965__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Poor Rococo style transfer; objects appear metallic and distorted with heavy artifacts and loss of texture detail.,5,5,5,Excellent Rococo style integration with ornate background elements; source object structure preserved accurately with minimal artifacts.,3,4,3,Moderate style transfer with some Rococo hints in background; object structure mostly preserved but with noticeable blurring and soft artifacts.
Minimalism__sean-scully_untitled-1973__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,Very weak Ukiyo-e style; appears as a washed-out green pattern with no traditional motifs or line work. Structure is preserved but lacks stylistic intent. Some color bleeding and low contrast.,5,5,5,"Strongest Ukiyo-e interpretation: retains source geometry while applying stylized shading, line emphasis, and muted palette reminiscent of woodblock prints. Clean edges, no artifacts, excellent fidelity to both content and style.",3,4,4,Moderate style transfer — some texture and color variation suggest stylization but lacks clear Ukiyo-e characteristics. Structure is well preserved. Minor blurring and softness reduce clarity compared to D.
Rococo__jean-marc-nattier_portrait-of-louis-tocqu-1762__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly hazy and washed-out; loses texture and color fidelity of Early Renaissance style. Structure is preserved but obscured by blur.,5,5,5,"Excellent preservation of source structure with strong Early Renaissance stylistic traits: rich colors, soft chiaroscuro, and painterly texture without artifacts.",3,4,3,Moderate style transfer with some smudging and loss of detail. Structure is mostly intact but suffers from soft-focus artifacts reducing clarity.
Minimalism__joan-hernandez-pijuan_nuvol-rosa-2-1990__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly textured and noisy; fails to convey minimalism. Structure is preserved but obscured by artifacts.,5,5,5,"Excellent minimalism: clean background, sharp oval, no noise. Perfectly balances style and structure.",3,4,3,Moderate minimalism with soft texture; structure is clear but slightly blurred. Some visual noise reduces purity.
Minimalism__judy-chicago_morning-fan-1971__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Overly blurred and washed-out; minimalism not well captured, structure preserved but lacks clarity.",5,5,5,"Excellent minimalism with clean gradients, sharp structure, and no visible artifacts.",3,4,3,"Moderate minimalism, good structure but slight color bleeding and softness reduce quality."
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Very faint style transfer; structure preserved but style is nearly invisible. Low contrast and washed-out appearance reduce stylistic fidelity.,5,5,5,"Excellent Early Renaissance style application with rich color, architectural detail, and figure rendering. Structure perfectly preserved. No visible artifacts.",3,4,4,"Moderate style transfer with some color and texture hints, but overly bright and washed out. Structure mostly intact. Slight overexposure reduces clarity."
Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Heavy texture and noise obscure content; minimal Rococo styling; structure partially preserved but degraded by artifacts.,5,5,5,Excellent Rococo framing and ornamental details; source structure fully preserved; clean output with no visible artifacts.,3,4,3,Moderate Rococo influence with soft blending; structure mostly intact; slight smudging and haze reduce clarity.
Ukiyo_e__kitagawa-utamaro_upon-my-oath__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Preserves structure well but fails to apply Impressionist style; output remains nearly identical to source with no stylistic transformation.,5,5,5,"Excellent Impressionist style transfer with visible brushwork and color blending, while perfectly preserving the original composition and details without artifacts.",3,3,2,"Shows some stylistic influence but is washed out and blurry; structure is distorted and significant artifacts (smudging, loss of detail) are present."
Minimalism__imi-knoebel_weiss-und-schwarz-4-2009__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,4,2,4,5,Minimal style transfer; grayscale tones lack Renaissance texture or warmth. Structure well preserved with clean edges and no artifacts.,5,5,4,"Strong Early Renaissance style: parchment-like background, sepia tones, architectural sketch overlay on one panel. Structure intact, slight softness in shadows but no major artifacts.",3,3,2,"Moderate style attempt with warm beige tone, but heavy blur and halo artifacts degrade structure and introduce noise. Style is vague and inconsistent."
Ukiyo_e__utagawa-kuniyoshi_a-record-of-origins-of-the-great-country-of-japan__to__Minimalism,Ukiyo_e,Minimalism,DualPathFresh_e09,DualPathFresh_e09,Seedream_repaired750,DualPathFresh_e09,4,2,3,2,Overly desaturated and blurry; loses structural detail and fails to convey minimalism cleanly.,3,5,4,Preserves source structure well but retains too much original color/detail — not truly minimalist.,5,4,5,Cleanest minimal aesthetic with soft gradients and reduced detail; slight loss of wave texture but excellent artifact control.
Minimalism__robert-mangold_ellow-black-zone-painting-iv-1996__to__Impressionism,Minimalism,Impressionism,DualPathFresh_e09,DualPathFresh_e09,Seedream_repaired750,Seedream_repaired750,4,2,4,3,Minimal style transfer; gray stripe lacks impressionist texture. Structure preserved but no brushwork or color blending applied.,3,5,5,"Excellent structure retention with clean lines and accurate geometry. Style is subtly implied via soft edges and warm tones, though not strongly impressionistic. No visible artifacts.",5,3,4,"Strong impressionist style: visible brushstroke-like textures, blended yellows and grays, atmospheric feel. Slight structural distortion in curved lines and edge softening, but overall coherent and stylistically faithful."
Rococo__antoine-watteau_head-of-a-man__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Very faint, washed-out output; minimal impressionistic texture or color; structure mostly preserved but lacks stylistic intent.",5,5,5,Strong impressionistic brushwork and color palette applied while preserving facial structure cleanly; no visible artifacts.,3,3,2,Some impressionistic smudging and color bleeding; structure is distorted with haloing and loss of detail; moderate artifacts.
