case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-PS-v2_e13_style_specificity,LBM-PS-v2_e13_structure_preservation,LBM-PS-v2_e13_artifact_control,LBM-PS-v2_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,SaMST_e15_style_specificity,SaMST_e15_structure_preservation,SaMST_e15_artifact_control,SaMST_e15_note
Minimalism__joan-hernandez-pijuan_untitled-120-1999__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,"Very soft, blurred impressionistic wash; structure preserved but style lacks boldness and detail.",5,5,5,Strong impressionist brushwork with clear red lines; structure perfectly preserved; no artifacts.,3,4,2,Colorful but noisy; structure mostly intact; visible artifacts and color bleeding reduce quality.
Minimalism__joan-hernandez-pijuan_untitled-120-1999__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,Overly blurred and washed out; loses line clarity and minimalism intent.,5,5,5,Clean red lines on white background; preserves structure and embodies minimalism perfectly.,3,4,3,Faint gray lines with noise; structure retained but style is muted and artifacts present.
Minimalism__joan-hernandez-pijuan_untitled-120-1999__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,Seedream_repaired750,4,2,5,3,Preserves source structure well but lacks Rococo ornamentation; soft blur reduces detail.,5,4,5,Strong Rococo framing and color palette; clean output with minimal artifacts; slight structural simplification.,3,3,2,Partial Rococo texture but inconsistent application; visible noise and distortion reduce quality.
Minimalism__john-mclaughlin_number-13-1973__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,2,1,Extremely blurred; no discernible Renaissance style or structure.,5,5,5,Faithfully replicates Early Renaissance portraiture style with clean structure and no artifacts.,3,3,2,Shows some stylistic texture but lacks coherent structure and has visible edge artifacts.
Minimalism__john-mclaughlin_number-13-1973__to__Impressionism,Minimalism,Impressionism,LBM-PS-v2_e13,LBM-PS-v2_e13,LBM-PS-v2_e13,LBM-PS-v2_e13,4,4,4,4,Moderate impressionistic brushwork with soft blending; structure mostly preserved but slightly blurred; minimal artifacts.,2,3,3,Very dark and low-contrast; lacks clear impressionist texture; structure faintly visible; some noise in shadows.,3,2,2,Strong color saturation and abstract patterns suggest impressionism but distort structure; noticeable color bleeding and edge artifacts.
Minimalism__john-mclaughlin_number-13-1973__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Overly blurred and washed out; loses minimalism’s crispness and contrast.,5,5,5,"Perfectly captures minimalism: clean geometry, high contrast, no artifacts, faithful structure.",1,2,1,Textured noise dominates; completely fails minimalism and distorts original structure.
Minimalism__john-mclaughlin_number-13-1973__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,2,2,Extremely blurry and indistinct; no clear Rococo elements or structural fidelity.,5,5,5,Strong Rococo ornamental frame with precise structure and clean artifacts; best overall match.,3,3,3,Some Rococo texture and pattern but lacks definition; moderate structure and noticeable artifacts.
Minimalism__john-mclaughlin_number-13-1973__to__Ukiyo_e,Minimalism,Ukiyo_e,SaMST_e15,SaMST_e15,Seedream_repaired750,Seedream_repaired750,4,2,2,2,Very blurry and indistinct; fails to convey Ukiyo-e style or preserve structure.,3,5,5,Preserves source structure perfectly with clean edges; minimal artifacts but lacks strong Ukiyo-e stylistic features.,5,3,3,Strongest Ukiyo-e aesthetic with textured brushwork and color palette; some structural distortion and minor artifacts present.
Minimalism__john-mclaughlin_number-4__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Very blurry and indistinct; fails to convey Early Renaissance style or preserve structure clearly.,5,5,5,Excellent match to Early Renaissance portraiture style; preserves source structure faithfully with no visible artifacts.,1,2,1,Highly abstracted and noisy; loses both stylistic intent and structural coherence.
Minimalism__john-mclaughlin_number-4__to__Impressionism,Minimalism,Impressionism,SaMST_e15,SaMST_e15,LBM-PS-v2_e13,LBM-PS-v2_e13,4,2,5,5,"Highly preserves source structure with minimal artifacts, but lacks Impressionist brushwork or color texture.",3,4,4,Moderate Impressionist feel via color blending; retains layout but introduces slight softening artifacts.,5,3,3,"Strongest Impressionist texture and palette application, though structure is distorted and minor noise artifacts present."
Minimalism__john-mclaughlin_number-4__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,Overly blurred; loses both style and structure.,5,5,5,Clean minimalism with sharp edges and no artifacts.,3,4,4,Adds texture not in target; slightly overcomplicated.
Minimalism__john-mclaughlin_number-4__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and indistinct; minimal Rococo detail or structure preserved.,5,5,5,"Excellent Rococo ornamental framing, clear panel structure, clean edges with no artifacts.",3,4,3,"Some Rococo texture and structure retained, but overly textured and slightly noisy."
Minimalism__john-mclaughlin_number-4__to__Ukiyo_e,Minimalism,Ukiyo_e,LBM-PS-v2_e13,LBM-PS-v2_e13,LBM-PS-v2_e13,LBM-PS-v2_e13,4,4,5,4,Strong Ukiyo-e color blocking and flat tones; preserves source layout well; minor blur in mid-section.,3,4,3,Moderate Ukiyo-e feel with bold blocks; structure mostly intact; slight color bleeding and soft edges.,2,3,2,Weak Ukiyo-e style; noisy texture and low contrast; structure partially lost; visible artifacts.
Minimalism__judy-chicago_morning-fan-1971__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Very blurry and indistinct; fails to capture Renaissance style or preserve structure.,5,5,5,"Strongly evokes Early Renaissance palette and composition; clean, coherent, minimal artifacts.",3,4,3,Some textural and color hints of Renaissance style but noisy and inconsistent; moderate structure retention.
Minimalism__judy-chicago_morning-fan-1971__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,LBM-PS-v2_e13,4,2,5,5,Highly preserves source structure but lacks Impressionist brushwork and color blending; appears blurred rather than stylistically rendered.,5,3,3,Strong Impressionist texture and color palette with visible brushstroke-like patterns; some structural distortion and minor artifacts in gradient transitions.,4,4,4,Good balance of Impressionist feel and structure; slight pixelation and edge artifacts reduce overall polish compared to D.
Minimalism__judy-chicago_morning-fan-1971__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,LBM-PS-v2_e13,4,2,5,5,Preserves source structure well but lacks minimalism; overly blurred and indistinct.,5,3,3,Strong minimalism with clean gradients and color blocks; some structural distortion and minor artifacts.,3,2,2,Minimalist in concept but cluttered with text-like artifacts; poor structure and high noise.
Minimalism__judy-chicago_morning-fan-1971__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,LBM-PS-v2_e13,4,2,5,5,Preserves source structure perfectly but lacks Rococo styling; appears as a blurred version of the source.,5,3,3,Strong Rococo ornamental framing and color palette; structure is distorted but stylistically convincing.,3,4,4,Moderate Rococo texture and tone; retains some structure but with noticeable artifacts and muted style.
Minimalism__judy-chicago_morning-fan-1971__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,2,2,Extremely blurred; loses both style and structure entirely.,5,5,5,Strong Ukiyo-e aesthetic with clear vertical banding and ink-like texture; preserves source layout perfectly.,3,4,3,"Grainy, stone-like texture partially conveys traditional feel but lacks crisp Ukiyo-e line work; structure mostly intact."
Minimalism__mira-schendel_untitled-1984__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Blurred and indistinct; lacks clear Renaissance stylistic markers or structural fidelity.,5,5,5,"Strong Early Renaissance portraiture style with accurate anatomy, drapery, and warm palette; clean output.",3,2,1,Abstract texture dominates; no coherent structure or recognizable Renaissance style; heavy artifacts.
Minimalism__mira-schendel_untitled-1984__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,"Extremely blurred, loses all structure and style detail; appears as a smudged blob with no impressionistic texture or form.",5,5,5,"Strong impressionistic brushwork, clear facial structure, vibrant color palette matching target style, minimal artifacts.",4,3,3,"Shows textured, pointillist-like strokes but lacks coherent subject structure; colors are vibrant but composition is abstracted beyond recognition."
Minimalism__mira-schendel_untitled-1984__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,Seedream_repaired750,4,2,5,3,Preserves source structure well but lacks minimalism; overly blurred and indistinct.,5,3,5,Strong minimalism with clean color field; minor structural loss but no artifacts.,3,2,2,Textured noise dominates; poor structure retention and high artifact presence.
Minimalism__mira-schendel_untitled-1984__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,LBM-PS-v2_e13,4,2,5,5,Preserves source structure perfectly but lacks Rococo stylistic elements; appears as a blurred version of the source.,5,3,3,Strongly captures Rococo ornate texture and color palette; introduces some structural distortion and minor artifacts.,3,4,4,Moderate Rococo feel with better structure than D but less stylistic fidelity; shows slight noise and uneven texture.
Minimalism__mira-schendel_untitled-1984__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Extremely blurred; no discernible Ukiyo-e features or structure.,4,4,4,Clean gradient with subtle texture; best approximation of Ukiyo-e mood and minimal artifacts.,3,2,2,Grainy noise dominates; some textural hint of style but poor structure and high artifacts.
Minimalism__pino-pinelli_pittura-r-1993__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Blurred and washed out; loses both style and structure.,5,5,5,"Clean, faithful to Early Renaissance palette and composition; no artifacts.",3,4,3,Some texture noise and color bleed; structure mostly preserved.
Minimalism__pino-pinelli_pittura-r-1993__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly blurred; loses both style and structure.,5,5,5,Clean Impressionist brushwork with full structure retention.,4,4,3,Good style but slight color noise and minor artifacts.
Minimalism__pino-pinelli_pittura-r-1993__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,4,"Very faint, almost erased; minimalism achieved but at cost of clarity and structure.",5,5,5,"Clean, bold red shapes on neutral background; strong minimalism with full structural fidelity and no artifacts.",3,2,3,"Textured, noisy background distorts original structure; style is abstract but not cleanly minimal."
Minimalism__pino-pinelli_pittura-r-1993__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,Seedream_repaired750,4,2,5,3,Preserves structure well but lacks Rococo ornamentation; blurry artifacts reduce clarity.,5,4,5,Strong Rococo framing and decorative motifs; clean output with minimal artifacts; slight structural softening.,3,3,2,Partial Rococo texture applied; distorted shapes and noisy background indicate poor artifact control and structural drift.
Minimalism__pino-pinelli_pittura-r-1993__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,2,1,Extremely blurred; no discernible Ukiyo-e style or structure.,5,5,5,Clean Ukiyo-e aesthetic with precise structure and minimal artifacts.,3,4,3,Partial Ukiyo-e influence but noisy texture and inconsistent rendering.
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,Faint Renaissance texture but lacks ornamental detail; structure mostly preserved with minor blur.,5,5,5,Strong Early Renaissance framing and chiaroscuro; object structure intact; no visible artifacts.,3,2,2,Color wash suggests style but distorts structure; halo artifacts and color bleeding present.
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,SaMST_e15,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Overly blurred, loses both style and structure; resembles noise rather than impressionism.",4,5,5,"Clean structure retention with subtle impressionistic brushwork; minimal artifacts, balanced output.",5,3,3,Strong impressionist color and texture but introduces halos and color bleeding around edges.
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Overly blurred and washed out; minimalism lost in haze, structure faintly preserved but details obscured.",5,5,5,"Clean geometric abstraction with sharp edges, flat colors, and clear object outlines — ideal minimalism without artifacts.",3,4,3,Textured background introduces noise; structure mostly intact but style feels more illustrative than minimalist.
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,Seedream_repaired750,4,2,5,3,Very faithful to source structure but lacks Rococo styling; appears blurred and indistinct.,5,4,5,Strong Rococo aesthetic with ornate frame and soft colors; minor structural distortion but excellent artifact control.,3,3,2,"Some Rococo texture and color, but heavy artifacts and poor structural fidelity reduce overall quality."
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,2,1,Overly blurred and washed out; loses both style and structure.,5,5,5,"Strong Ukiyo-e aesthetic with clean lines, proper color palette, and preserved structure.",3,4,3,Retains structure but introduces noisy texture and inconsistent style application.
Minimalism__robert-mangold_ellow-black-zone-painting-iv-1996__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Very abstract and blurry; loses structural clarity and Renaissance texture cues.,5,5,5,"Strong Early Renaissance arch framing, aged parchment texture, and clean geometry with minimal artifacts.",3,2,3,Textured but noisy; structure is distorted and lacks clear Renaissance compositional cues.
Minimalism__robert-mangold_ellow-black-zone-painting-iv-1996__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,"Overly blurred, loses all structure and style cues; appears as noise.",5,5,5,"Strong Impressionist brushwork, preserves source shape and black stripe cleanly, no artifacts.",3,3,2,Partial style transfer with visible texture but distorted geometry and color bleeding.
Minimalism__robert-mangold_ellow-black-zone-painting-iv-1996__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,4,"Very soft, blurred gradients; lacks minimalism’s crisp geometry and bold color blocks.",5,5,5,"Faithfully reproduces minimalism: sharp vertical bands, high-contrast yellow/black, clean edges, no noise or distortion.",1,2,2,"Textured, noisy, grid-like pattern; completely diverges from minimalism’s simplicity and structure."
Minimalism__robert-mangold_ellow-black-zone-painting-iv-1996__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,LBM-PS-v2_e13,4,2,5,5,Minimal Rococo styling; preserves source structure well with no artifacts.,5,3,3,Strong Rococo ornamental style; moderate structure distortion and minor artifacts.,3,4,4,Moderate Rococo texture; good structure retention with slight blurring.
Minimalism__robert-mangold_ellow-black-zone-painting-iv-1996__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Blurry, lacks Ukiyo-e texture and line work; structure partially preserved but heavily degraded.",5,5,5,"Strong Ukiyo-e aesthetic with clean lines, flat color blocks, and stylized curves; structure perfectly preserved; no visible artifacts.",3,4,3,Textured grain suggests woodblock print but lacks defining Ukiyo-e motifs; structure intact but overly noisy; minor artifacts from texture overapplication.
Minimalism__robert-mangold_untitled-fcpa-1995__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Very blurry and washed-out; loses both style and structure.,5,5,5,Excellent Early Renaissance texture and color; preserves panel shape and leaf lines cleanly.,4,4,4,Strong style and structure but slightly harsher textures and minor edge artifacts.
Minimalism__robert-mangold_untitled-fcpa-1995__to__Impressionism,Minimalism,Impressionism,SaMST_e15,SaMST_e15,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly blurred; loses both style and structure.,3,5,5,"Clean structure and minimal artifacts, but style is muted.",5,4,3,Strong Impressionist texture and color; slight edge artifacts.
Minimalism__robert-mangold_untitled-fcpa-1995__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,4,"Overly blurred, loses color and texture; minimalism not clearly expressed.",5,5,5,"Clean, bold color blocks with sharp edges; faithful to source structure and target minimalism.",3,4,3,Textured overlay introduces noise; structure preserved but style feels cluttered.
Minimalism__robert-mangold_untitled-fcpa-1995__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and indistinct; fails to convey Ukiyo-e style or preserve structure clearly.,5,5,5,"Strong Ukiyo-e aesthetic with clean lines, gradient shading, and faithful structural retention; minimal artifacts.",4,4,3,"Textured, woodblock-like appearance suits Ukiyo-e but introduces noise and slight structural distortion."
Minimalism__robert-morris_box-with-the-sound-of-its-own-making-1961__to__Early_Renaissance,Minimalism,Early_Renaissance,SaMST_e15,SaMST_e15,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Very blurry and indistinct; minimal Renaissance detail or texture; structure partially preserved but heavily degraded by haze.,3,5,5,"Clean, sharp output with good structural fidelity; subtle warm tones suggest early Renaissance palette but lacks ornamental detail.",5,4,4,"Strongest stylistic match: rich carved relief, aged patina, and painterly background evoke Early Renaissance panel painting; minor edge artifacts."
Minimalism__robert-morris_box-with-the-sound-of-its-own-making-1961__to__Impressionism,Minimalism,Impressionism,SaMST_e15,SaMST_e15,Seedream_repaired750,Seedream_repaired750,4,2,2,2,Highly blurred and abstract; loses both structure and recognizable style cues.,3,5,5,Preserves structure perfectly; minimal artifacts but only subtle impressionistic texture.,5,4,4,Strongest Impressionist brushwork and color; slight texture artifacts but excellent style transfer.
Minimalism__robert-morris_box-with-the-sound-of-its-own-making-1961__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Overly blurred and abstract; loses all structural and stylistic fidelity to minimalism.,5,5,5,"Clean geometric forms, muted palette, and precise edges embody minimalism with high fidelity.",3,3,3,Sketchy lines and textured background reduce clarity; partially captures minimalism but lacks refinement.
Minimalism__robert-morris_box-with-the-sound-of-its-own-making-1961__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,LBM-PS-v2_e13,4,2,5,5,Minimal Rococo styling; structure and artifacts well preserved but lacks ornamental detail.,5,3,3,"Strong Rococo elements (pastel tones, ornate frame, soft lighting); some structural distortion and minor artifacts.",4,4,4,Good Rococo texture and color palette; moderate structural fidelity and slight edge artifacts.
Minimalism__robert-morris_box-with-the-sound-of-its-own-making-1961__to__Ukiyo_e,Minimalism,Ukiyo_e,SaMST_e15,SaMST_e15,SaMST_e15,SaMST_e15,4,2,3,2,"Very blurry, lacks Ukiyo-e detail; structure is preserved but heavily degraded by blur artifacts.",3,4,4,"Good block structure and some wood-grain texture, but style is generic rather than distinctly Ukiyo-e.",5,5,5,Excellent Ukiyo-e style with clear woodblock texture and ink lines; perfectly preserves source structure with minimal artifacts.
Minimalism__robert-ryman_conversion-2003__to__Early_Renaissance,Minimalism,Early_Renaissance,LBM-PS-v2_e13,LBM-PS-v2_e13,Seedream_repaired750,Seedream_repaired750,3,4,2,2,Strong Early Renaissance color and texture mimicry but heavy blur obscures structure and introduces smearing artifacts.,2,5,5,"Perfectly preserves source structure with no artifacts, but fails to apply any discernible Early Renaissance style.",3,1,1,Shows some stylistic color shifts but is severely distorted with major structural loss and heavy compression artifacts.
Minimalism__robert-ryman_conversion-2003__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,SaMST_e15,Seedream_repaired750,Seedream_repaired750,4,2,3,3,"Very blurry, minimal impressionistic texture; structure preserved but style is weak and indistinct.",3,5,5,"Cleanest output — preserves source structure perfectly, subtle brushstroke-like texture suggests Impressionism without artifacts.",5,1,2,"Strongest Impressionist color and texture, but completely destroys original structure; heavy noise/artifacts present."
Minimalism__robert-ryman_conversion-2003__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,4,Overly uniform; lacks minimalism’s intentional restraint and subtle texture variation.,5,5,5,"Clean, restrained, and faithful to minimalism; preserves source structure with no artifacts.",1,2,2,"Noisy, cluttered, and visually chaotic; fails to convey minimalism or preserve structure."
Minimalism__robert-ryman_conversion-2003__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,1,1,Extremely blurred; no discernible Rococo elements or structure.,5,5,5,Clear Rococo ornamental frame with precise structure and clean rendering.,3,2,2,Hints of texture and color but lacks defined Rococo motifs and structural clarity.
Minimalism__robert-ryman_conversion-2003__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,SaMST_e15,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very blurry, loses all Ukiyo-e detail; structure barely preserved; heavy blur artifacts.",3,5,5,Cleanest output; preserves source structure perfectly; minimal artifacts; subtle Ukiyo-e hint but not strong.,5,2,3,Strongest Ukiyo-e texture and pattern; structure heavily distorted; some noise/artifacts present.
Minimalism__robert-ryman_surface-veil-1970__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Very blurry and indistinct; lacks Renaissance stylistic markers and structural clarity.,5,5,5,"Strong Early Renaissance panel aesthetic with clear framing, aged texture, and preserved document structure; minimal artifacts.",4,3,3,Shows some Renaissance framing and color tones but suffers from over-saturation and distortion of the central document area.
Minimalism__robert-ryman_surface-veil-1970__to__Impressionism,Minimalism,Impressionism,SaMST_e15,SaMST_e15,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly blurred; loses both style and structure.,3,5,5,Clean preservation of source structure with minimal artifacts; style is subtle.,5,3,3,Strong Impressionist texture and color; some structural distortion and edge artifacts.
Minimalism__robert-ryman_surface-veil-1970__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,3,Overly blank; loses all structure and style cues.,5,5,5,Clean minimalism with strong structure retention and no artifacts.,3,4,3,Adds grid texture not in target; slightly noisy but retains shape.
Minimalism__robert-ryman_surface-veil-1970__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,Seedream_repaired750,4,2,5,3,Preserves structure well but lacks Rococo ornamentation; overly blurred and indistinct.,5,4,5,Strong Rococo framing and decorative motifs; clean output with minimal artifacts; slight softening of source details.,4,3,4,Rococo elements present but distorted; texture appears noisy and structure is warped; moderate artifacts.
Minimalism__robert-ryman_surface-veil-1970__to__Ukiyo_e,Minimalism,Ukiyo_e,SaMST_e15,SaMST_e15,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Extremely blurry and indistinct; fails to convey Ukiyo-e style or preserve source structure.,3,5,5,"Clean, well-preserved structure with subtle Ukiyo-e framing; lacks strong stylistic texture but is artifact-free.",5,3,3,Strong Ukiyo-e aesthetic with textured brushwork and color palette; structure is somewhat distorted but stylistically compelling.
Minimalism__ronald-davis_zig-zag-times-two-1966__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Blurred and indistinct; minimal Renaissance stylistic cues; structure partially preserved but heavily degraded by blur artifacts.,5,5,5,Strong Early Renaissance aesthetic with clear architectural framing and figure composition; structure perfectly preserved; no visible artifacts.,3,4,3,Textured surface suggests aged fresco or panel painting; structure mostly intact but edges show slight warping; moderate stylistic fidelity.
Minimalism__ronald-davis_zig-zag-times-two-1966__to__Impressionism,Minimalism,Impressionism,SaMST_e15,SaMST_e15,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Overly blurred, loses both style and structure; no clear impressionistic texture or form.",3,5,5,Preserves source geometry perfectly; minimal artifacts but lacks strong Impressionist brushwork or color variation.,5,4,3,Strong Impressionist palette and textured strokes; slight warping at edges but overall stylistic fidelity is highest.
Minimalism__ronald-davis_zig-zag-times-two-1966__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly blurred and washed out; loses both style and structure.,5,5,5,"Clean minimalism with sharp edges, solid color, and no artifacts.",3,4,3,Adds texture not in target style; structure preserved but style diluted.
Minimalism__ronald-davis_zig-zag-times-two-1966__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and indistinct; minimal Rococo detail or structure preserved.,5,5,5,"Excellent Rococo ornamental framing, clear zigzag structure, clean edges, no artifacts.",3,4,4,Moderate Rococo texture and gold trim; structure mostly intact but less refined than D.
Minimalism__ronald-davis_zig-zag-times-two-1966__to__Ukiyo_e,Minimalism,Ukiyo_e,SaMST_e15,SaMST_e15,Seedream_repaired750,Seedream_repaired750,4,1,2,1,Extremely blurred; no discernible Ukiyo-e style or structure preserved.,2,5,5,Perfectly preserves source geometry with clean edges; minimal style transfer but no artifacts.,5,4,3,Strong Ukiyo-e texture and color palette applied; slight warping at edges but overall faithful to style.
Minimalism__ruth-vollmer_trimer-monomer-dimer-1965__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly abstract and blurry; loses object identity and Renaissance texture cues.,5,5,5,"Strong Early Renaissance painterly texture, warm palette, and clear form retention with minimal artifacts.",4,4,3,Good stylization but slightly over-sharpened edges and minor noise artifacts reduce fidelity.
Minimalism__ruth-vollmer_trimer-monomer-dimer-1965__to__Impressionism,Minimalism,Impressionism,SaMST_e15,SaMST_e15,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Very blurry and washed-out; lacks Impressionist brushwork and color vibrancy; structure is preserved but heavily degraded by artifacts.,3,5,5,"Excellent structure preservation with minimal artifacts; style is somewhat muted but retains form and lighting close to source, lacking full Impressionist texture.",5,4,3,Strongest Impressionist style with visible brushstroke-like textures and vibrant color shifts; slight haloing/artifacts around edges but overall stylistic fidelity is highest.
Minimalism__ruth-vollmer_trimer-monomer-dimer-1965__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,4,Overly blurred and lacks clear minimalism; structure is preserved but style is vague.,5,5,5,"Strong minimalism with clean geometry, preserved structure, and no visible artifacts.",3,4,3,Minimalist but introduces grid-like artifacts and loses some structural clarity.
