case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,QEdgePattn_e01_style_specificity,QEdgePattn_e01_structure_preservation,QEdgePattn_e01_artifact_control,QEdgePattn_e01_note,DualPath_e01_style_specificity,DualPath_e01_structure_preservation,DualPath_e01_artifact_control,DualPath_e01_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note
Impressionism__nikolay-bogdanov-belsky_connoisseurs-of-books-knowledge-is-power__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Rococo styling; heavy greenish haze and smearing distort structure and introduce artifacts.,2,3,2,Similar to QEdgePattn; muted Rococo cues with noticeable blur and color bleed around edges.,5,5,5,"Strong Rococo aesthetic with ornate frame, soft pastel tones, and clean preservation of original composition and details."
Rococo__thomas-gainsborough_john-plampin__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very blurry and washed-out; style transfer is weak and indistinct, with significant loss of detail and texture.",2,3,2,"Similar to QEdgePattn_e01 — overly soft, low contrast, and lacks stylistic fidelity to Early Renaissance; structure is preserved but visually degraded.",5,5,5,"Excellent preservation of source structure while successfully applying Early Renaissance stylistic elements (color palette, brushwork, composition harmony). Minimal artifacts, high fidelity to both content and target style."
Impressionism__claude-monet_bordighera-the-house-of-gardener__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed-out; loses structural detail and fails to convey Rococo elegance or color richness.,2,3,2,"Similar to QEdgePattn — excessive blur, poor texture definition, and no stylistic fidelity to Rococo.",5,5,5,"Excellent preservation of source structure, rich Rococo-inspired color palette and ornamental framing, clean rendering with no artifacts."
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; image appears blurred and washed out with no Rococo characteristics. Structure is preserved but degraded by artifacts.,2,3,2,"Similar to QEdgePattn, fails to apply Rococo style. The output is hazy and lacks detail, though the basic pose is recognizable.",5,5,5,Excellent style transfer with Rococo elements like the ornate frame and soft coloring. Structure is perfectly preserved and the image is clean.
Minimalism__robert-ryman_conversion-2003__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed out; loses source structure and fails to convey minimalism effectively.,2,3,2,"Similar to QEdgePattn — excessive blur, poor style transfer, and loss of detail.",5,5,5,"Perfectly preserves source structure and color while achieving clean, minimalist aesthetic with no artifacts."
Rococo__thomas-gainsborough_a-coastal-landscape-1782__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly hazy and washed-out; loses Renaissance texture and detail. Structure is blurred but recognizable. Heavy artifacts from diffusion haze.,3,4,3,"Better clarity than QEdgePattn_e01. Some Renaissance-like tonal warmth, but still lacks fine textural fidelity. Minor smudging artifacts.",5,5,5,"Excellent match to Early Renaissance style: rich earth tones, visible brushwork texture, atmospheric depth. Structure perfectly preserved. No visible artifacts."
Early_Renaissance__benozzo-gozzoli_procession-of-the-magus-caspar-detail-1461-4__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; image appears faded and washed out with minimal impressionistic texture. Structure is preserved but lacks stylistic fidelity.,2,3,2,"Similar to QEdgePattn_e01 — poor style application, overly smooth and blurry, no clear impressionist brushwork or color variation.",5,5,5,"Excellent impressionist style: visible brushstrokes, vibrant colors, soft edges, and atmospheric lighting. Structure of the king’s face and crown is well preserved. No artifacts or distortions."
Minimalism__yves-gaucher_traces-2000__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,QEdgePattn_e01,4,2,5,5,"Preserves source structure perfectly but applies almost no Rococo style; appears as a blurred, neutral background with minimal color shift.",2,5,5,"Identical to QEdgePattn_e01 in output — no stylistic transfer applied, only structural preservation with heavy blur.",5,3,3,"Strongly applies Rococo ornamental border and pastel swirls, but distorts the original horizontal line and adds non-source elements (border, swirls). Structure is compromised for style."
Minimalism__imi-knoebel_weiss-und-schwarz-4-2009__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,QEdgePattn_e01,4,2,5,5,"Excellent structure and artifact control, but fails to apply Ukiyo-e style; output is nearly identical to source with only slight grayscale shift.",2,4,4,"Similar to QEdgePattn_e01 — preserves structure well and has minimal artifacts, but no meaningful style transfer applied.",5,3,3,"Strongest Ukiyo-e style application with textured paper background and ink-wash gradients; structure is somewhat distorted and artifacts (e.g., smudging) are present but stylistically appropriate."
Ukiyo_e__kitagawa-utamaro_the-hour-of-the-horse__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed out, low contrast, and lacks the bold lines and vibrant color blocking typical of Ukiyo-e. Structure is preserved but style is weak.",3,4,3,Better than QEdgePattn but still too soft and painterly. Lacks the crisp linework and flat color areas of Ukiyo-e. Some minor smudging artifacts.,5,5,5,"Excellent match to Ukiyo-e style: strong black outlines, flat color regions, and appropriate texture. Structure is perfectly preserved with no visible artifacts."
Impressionism__john-singer-sargent_lake-in-the-tyrol__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,Very blurry and washed-out; lacks Impressionist brushwork or color vibrancy. Structure is preserved but overly diffused.,3,4,4,"Better than QEdgePattn_e01 with some soft color blending, but still too hazy and lacks defined Impressionist texture. Minor artifacts in sky.",5,5,5,"Strong Impressionist style with visible brushstrokes, vibrant colors, and clear structure. Minimal artifacts; best overall match to target style."
Minimalism__brice-marden_joined-2011__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Weak Renaissance style; structure preserved but background overly uniform and flat.,2,4,3,"Similar to QEdgePattn; minimal stylistic transfer, clean but bland output.",5,5,5,"Strong Early Renaissance aesthetic with appropriate color palette, texture, and lighting; structure perfectly preserved with no artifacts."
Rococo__thomas-gainsborough_robert-butcher-of-walthamstan__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and hazy; style is vague and lacks Rococo detail or ornamentation. Structure is preserved but degraded by blur. Heavy artifacts from diffusion noise.,2,3,2,"Nearly identical to QEdgePattn_e01 — same blur, haze, and lack of stylistic fidelity. No improvement in structure or artifact control.",5,5,5,"Excellent Rococo framing with ornate pastel border and oval composition matching target style. Source portrait structure perfectly preserved. Clean, artifact-free output with high fidelity."
Ukiyo_e__keisai-eisen_yabai-with-two-women-1840__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed out, low contrast, and lacks distinct Impressionist brushwork; structure is somewhat preserved but colors are muddy.",3,3,3,"Better color saturation than QEdgePattn, with some visible brushstroke texture, but still appears overly smooth and lacks the vibrant, fragmented light typical of Impressionism.",5,5,5,"Excellent Impressionist style with clear, vibrant brushstrokes, rich color palette, and strong preservation of original composition and details without artifacts."
Impressionism__rudolf-schweitzer-cumpana_str-du-n-atena__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very washed-out, low contrast; Rococo elegance absent. Structure preserved but overly blurred and hazy.",2,3,2,"Similar to QEdgePattn — lacks Rococo refinement, suffers from smudging and loss of detail. Minimal stylistic transfer.",4,5,4,"Best attempt at Rococo: ornate archway added, richer color palette, better brushwork texture. Minor artifacts in sky and figures, but overall strongest stylistic fidelity and structural integrity."
Early_Renaissance__fra-angelico_saint-cosmas-and-saint-damian-before-lisius-1440__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; appears washed out and lacks Ukiyo-e characteristics. Structure is preserved but colors are muted and unnatural.,2,3,2,"Similar to QEdgePattn, fails to apply the target style effectively. The image looks like a faded version of the source rather than a stylized output.",5,5,5,"Excellent result. Successfully applies the Ukiyo-e style (flat colors, distinct outlines) while perfectly preserving the original composition and details without artifacts."
Minimalism__john-mclaughlin_number-4__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed-out; loses color fidelity and texture contrast. Minimalist intent is diluted by excessive smoothing.,2,3,2,"Similar to QEdgePattn — soft, indistinct regions with poor color retention. Fails to convey minimalism’s crispness or intent.",5,5,5,"Perfectly preserves source geometry and color blocks while applying a clean, restrained aesthetic consistent with minimalism. No artifacts or distortions."
Impressionism__edgar-degas_study-of-gentile-bellini-1855__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to capture Ukiyo-e style; appears as a blurred grayscale sketch with no color or line work characteristic of the target.,2,3,2,Similar to QEdgePattn; lacks stylistic fidelity and introduces heavy blur artifacts without achieving the desired aesthetic.,5,5,5,"Excellent transfer of Ukiyo-e style with bold outlines, flat color regions, and characteristic shading. Structure is well-preserved and artifacts are minimal."
Impressionism__camille-pissarro_the-gardener-afternoon-sun-eragny-1899__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed-out, low contrast; style is vague and lacks Ukiyo-e linearity or color blocking. Structure is preserved but details are blurred.",2,3,2,Similar to QEdgePattn but slightly more contrast. Still fails to capture the distinct ink lines or flat color areas of Ukiyo-e. Heavy haze artifact.,4,5,4,"Best attempt at Ukiyo-e with visible ink-like outlines and stylized coloring. Structure is perfectly preserved. Some minor color bleeding in the sky, but overall clean."
Rococo__maurice-quentin-de-la-tour_marie-josephe-of-saxony-1__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and hazy; loses facial detail and texture, failing to convey minimalism cleanly.",2,3,2,Similar to QEdgePattn — soft focus and ghosting artifacts obscure structure and style intent.,5,5,5,Clean vector-style simplification with bold colors and clear outlines; preserves pose and key features while achieving strong minimalism.
Minimalism__joan-hernandez-pijuan_untitled-120-1999__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,QEdgePattn_e01,4,2,5,5,"Excellent structure and artifact control, but fails to apply any Ukiyo-e style; output is nearly identical to source.",2,5,5,"Same as QEdgePattn_e01 — perfect structure and no artifacts, but zero style transfer applied.",4,4,3,Best style transfer attempt with warm gradient background and stylized lines; minor artifacts in line thickness and slight distortion of arch shape.
Minimalism__yves-gaucher_traces-2000__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred, loses minimalism’s clean lines; structure faintly preserved but obscured by noise.",2,3,2,Similar to QEdgePattn — heavy blur degrades both style fidelity and structural clarity.,5,5,5,"Perfectly captures minimalism: flat background, sharp colored line, no artifacts, exact structure match."
Ukiyo_e__utagawa-kuniyoshi_tamatori-being-pursued-bya-dragon__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to apply Impressionist style; output resembles a noisy, over-processed version of the source with no stylistic transfer.",2,3,2,Similar to QEdgePattn_e01; lacks Impressionist characteristics and introduces visual artifacts without meaningful style adaptation.,4,5,4,"Best among candidates: preserves source structure well, applies soft brushwork and color blending reminiscent of Impressionism, though not perfectly aligned with target reference."
Ukiyo_e__utagawa-kunisada_not_detected_240347__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,Seedream_repaired750,4,2,5,4,Preserves source structure well but fails to apply Early Renaissance style; output resembles original with minor color shifts.,2,5,4,Similar to QEdgePattn — strong structure retention but negligible style transfer; no Renaissance characteristics applied.,5,3,5,"Strongly applies Early Renaissance chiaroscuro, drapery, and anatomical rendering; some structural distortion in figures but stylistically faithful and artifact-free."
Rococo__joseph-wright_d-ewes-coke-his-wife-hannah-and-daniel-parker-coke__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very blurry and washed-out; style transfer is weak and indistinct, with significant loss of detail and color fidelity.",3,3,3,Moderate style application with some haze; structure is preserved but colors are muted and details are softened.,5,5,5,"Excellent preservation of source structure and facial details; style is applied subtly and cohesively, enhancing the Renaissance aesthetic without artifacts or distortion."
Impressionism__william-merritt-chase_gray-day-on-the-lagoon-a-passenger-boat-venice__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,Seedream_repaired750,4,2,5,4,Preserves structure well but lacks Rococo stylistic elements; appears as a faded version of source.,2,5,4,"Similar to QEdgePattn_e01; minimal style transfer, mostly preserves original content with slight softening.",5,3,5,Strong Rococo aesthetic with ornate frame and pastel tones; slight structural distortion but high stylistic fidelity and clean output.
Rococo__jean-marc-nattier_portrait-of-louis-tocqu-1762__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Heavy blur and smearing obscure facial features and clothing details; minimal Rococo stylistic elements applied.,2,3,2,"Similar to QEdgePattn — overly smoothed, lacks texture or ornamental Rococo cues; structure preserved but visually degraded.",5,5,5,"Excellent Rococo styling with ornate frame, soft pastel tones, and delicate brushwork; face and clothing details sharply preserved; no visible artifacts."
Ukiyo_e__utagawa-kuniyoshi_kuzunoha__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,Moderate Ukiyo-e style with visible paper texture artifacts; structure preserved but edges slightly softened.,3,4,3,Similar to QEdgePattn_e01; slight color shift and minor edge haloing; structure intact but style less refined.,5,5,5,"Excellent Ukiyo-e style fidelity, clean structure, minimal artifacts; best overall match to target style and source content."
Impressionism__edgar-degas_study-of-gentile-bellini-1855__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,DualPath_e01,DualPath_e01,4,2,4,3,"Very faint, washed-out rendering; style transfer barely perceptible, lacks Renaissance color/texture richness.",3,5,5,Excellent structural fidelity and clean output; style is subtly applied — more like a soft filter than full Renaissance transformation.,5,4,4,"Strongest Early Renaissance style: rich fur texture, warm tones, chiaroscuro modeling; minor softness in background but overall highly convincing."
Ukiyo_e__utagawa-kuniyoshi_ishiyakushi__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,Seedream_repaired750,4,2,5,4,Preserves source structure well but fails to apply Rococo style; output is nearly identical to source.,2,5,4,Similar to QEdgePattn_e01; strong structure preservation but negligible style transfer.,5,4,5,Successfully applies Rococo style with ornate borders and soft colors while maintaining good structural fidelity and clean output.
Minimalism__robert-mangold_untitled-fcpa-1995__to__Minimalism,Minimalism,Minimalism,DualPath_e01,DualPath_e01,Seedream_repaired750,DualPath_e01,4,3,4,3,Moderate minimalism achieved; soft blur reduces detail but introduces slight haze. Structure mostly preserved but edges softened.,5,4,5,"Excellent minimalism with clean, muted tones and no visible artifacts. Slight loss of edge sharpness but overall very clean output.",2,5,4,Preserves source structure well but fails to apply minimalism — retains original colors and contrast. Minimal stylistic change.
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; loses facial detail and color fidelity. Style is vague, not clearly impressionistic.",2,3,2,"Similar to QEdgePattn — soft focus, muted colors, but slightly better preservation of pose and background elements.",5,5,5,Excellent impressionistic brushwork with visible texture and color blending. Structure and facial features well preserved. No artifacts or distortions.
Ukiyo_e__utagawa-kunisada_not_detected_240353__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly diffuse, smudged texture; lacks Rococo elegance and clarity; structure blurred but recognizable; heavy artifacts.",2,3,2,"Similar to QEdgePattn — hazy, low-contrast, poor stylistic fidelity; structure preserved but degraded by noise/artifacts.",5,5,5,"Excellent Rococo styling with soft lighting, ornate details, and painterly texture; source structure fully preserved; minimal artifacts."
Ukiyo_e__utagawa-kunisada_not_detected_240353__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; minimal impressionistic texture or color blending; structure is preserved but heavily degraded by noise.,2,3,2,"Similar to QEdgePattn_e01 — overly smooth, lacks brushstroke definition, and fails to convey Impressionist vibrancy or light effects.",5,5,5,"Excellent preservation of original composition and figures; rich, painterly brushwork and color palette strongly evoke Impressionism; no visible artifacts or distortions."
Ukiyo_e__utagawa-kunisada_the-actor__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed out; loses stylistic fidelity and introduces heavy artifacts while failing to capture minimalism.,2,3,2,"Similar to QEdgePattn_e01 — suffers from blurring and artifacting, with poor style transfer and structural degradation.",5,5,5,Excellent preservation of source structure and style; clean output with no visible artifacts; successfully applies minimalism without distortion.
Rococo__giovanni-domenico-tiepolo_christ-s-fall-on-the-way-to-calvary-1772__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,DualPath_e01,DualPath_e01,4,2,3,2,Very blurry and hazy; style is weakly Rococo but mostly obscured by noise and loss of detail.,3,5,5,"Excellent structure preservation with minimal artifacts. Style is subtly Rococo — soft lighting and muted tones, but lacks ornamental flair.",5,4,3,"Strongest Rococo style: ornate frame, pastel palette, decorative borders. Minor structural distortion in figures, but overall most faithful to target aesthetic."
Rococo__joshua-reynolds_colonel-george-k-h-coussmaker-grenadier-guards__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,3,3,3,"Moderate impressionistic blur and color wash, but lacks strong stylistic fidelity to the reference; structure is somewhat preserved but softened excessively; minor smearing artifacts.",3,3,3,Similar to QEdgePattn_e01 — applies soft impressionist texture but fails to capture the specific palette or brushwork of the target; structure is blurred but recognizable; no major artifacts.,5,5,5,"Excellent match to Impressionist style with vibrant, textured brushwork and warm palette matching the reference; source structure (figure, horse, pose) is clearly preserved; clean output with no visible artifacts."
Early_Renaissance__pisanello_stork-1430__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Preserves structure well but applies a generic aged-paper texture rather than Early Renaissance stylistic elements. Lacks color and compositional cues from the target.,2,4,3,"Similar to QEdgePattn, it maintains the bird’s anatomy but fails to transfer the Renaissance style effectively. The output looks like a faded sketch rather than a styled painting.",5,5,5,"Excellent transfer of Early Renaissance style: appropriate earthy tones, subtle shading, and aged parchment background that matches the target reference. Structure is perfectly preserved with no artifacts."
Rococo__bernardo-bellotto_view-of-dresden-the-dresden-fortifications-moat-with-a-bridge-between-gate-and-post-mile-pillar__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style fidelity; appears washed out and lacks Ukiyo-e characteristics. Structure is somewhat preserved but obscured by haze. High artifact presence due to blurring and loss of detail.,2,3,2,"Similar to QEdgePattn_e01 — poor style transfer, minimal Ukiyo-e traits. Structure is faintly visible but degraded. Significant artifacts from over-smoothing and color bleeding.",5,5,5,"Excellent Ukiyo-e style capture: bold outlines, flat color planes, stylized architecture and figures. Source structure fully preserved with enhanced artistic rendering. No visible artifacts; clean, coherent output."
Ukiyo_e__kitagawa-utamaro_upon-my-oath__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,Seedream_repaired750,4,2,5,4,Preserves source structure well but fails to apply Renaissance style; remains nearly identical to source.,2,5,4,"Same as QEdgePattn_e01 — strong structure, no stylistic transfer, minimal artifacts.",5,3,5,Strongly applies Early Renaissance style with painterly texture and color; some structural distortion in face/hair but overall coherent and artifact-free.
Impressionism__mihaly-munkacsy_dusty-country-road-ii-1883__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly desaturated and washed-out; lacks impressionist color vibrancy and brushwork texture. Structure is preserved but style is weak.,3,4,3,"Better color than QEdgePattn but still muted. Some soft blending suggests impressionism, but lacks dynamic brushstrokes and richness. Minor artifacts in sky.",5,5,5,"Excellent impressionist rendering: rich warm/cool contrasts, visible expressive brushwork, coherent structure, no visible artifacts. Best matches target style reference."
Ukiyo_e__utagawa-kuniyoshi_a-record-of-origins-of-the-great-country-of-japan__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,DualPath_e01,Seedream_repaired750,4,2,4,3,Minimal style transfer; retains source sketch-like appearance with no Renaissance characteristics. Structure preserved but lacks artistic intent.,3,5,4,Moderate style infusion with some color and texture hints of Renaissance art. Excellent structure preservation but slight over-smoothing and muted palette.,5,4,5,"Strong Early Renaissance style: rich colors, chiaroscuro, compositional balance, and painterly texture. Minor structural distortion in wave form but overall highly faithful and artifact-free."
Minimalism__dan-flavin_greens-crossing-greens-to-piet-mondrian-who-lacked-green-1966__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Fails to apply Renaissance style; appears as a blurred, foggy version of the source with no stylistic elements.",2,4,3,"Similar to QEdgePattn, it fails to apply the target style, resulting in a hazy, indistinct image.",5,5,5,"Excellent result. It successfully applies the Early Renaissance style, perfectly preserves the source geometry, and is free of artifacts."
Ukiyo_e__utagawa-kunisada_the-actor__to__Rococo,Ukiyo_e,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to apply Rococo style; output resembles a faded or inverted version of the source with no stylistic transformation. Structure is preserved but visually degraded.,2,3,2,Same as QEdgePattn_e01 — no meaningful style transfer applied. Output is structurally intact but stylistically inert and artifact-prone due to lack of processing.,5,5,5,"Successfully applies Rococo aesthetic (ornate borders, soft pastel tones, decorative framing) while preserving the original composition and figure details. Clean output with minimal artifacts."
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,1,Severely blurred and washed out; no stylistic fidelity to minimalism; structure is nearly lost.,1,2,1,"Identical to QEdgePattn_e01 — same failure mode: extreme blur, no style transfer, poor structure retention.",5,4,5,"Strongly adheres to minimalism via flat colors, bold shapes, and simplified forms; source composition preserved with clean edges and no artifacts."
Rococo__joseph-wright_mr-and-mrs-thomas-coltman__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Overly hazy and washed-out; lacks Renaissance tonal depth and detail.,2,4,3,Similar to QEdgePattn_e01; heavy blur and loss of fine texture.,5,5,5,Excellent preservation of structure and strong Renaissance-style rendering with minimal artifacts.
Early_Renaissance__leonardo-da-vinci_studies-of-a-bewalking__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,1,Fails to apply Impressionist style; output is nearly identical to source sketch with no color or brushwork transformation. Heavy artifacts and loss of texture fidelity.,1,2,1,Same as QEdgePattn_e01 — no stylistic transfer achieved. Output remains a monochrome sketch with visible structural artifacts and no impressionistic rendering.,5,4,5,"Successfully applies Impressionist style with warm earth tones, visible brushstrokes, and atmospheric lighting. Structure of the bear is preserved with minor softening. Clean output with minimal artifacts."
Rococo__antoine-watteau_the-delicate-musician__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to apply minimalism; output is a blurred, ghostly version of the source with no stylistic reduction or simplification.",2,3,2,"Identical to QEdgePattn_e01; same failure to interpret minimalism, resulting in an indistinct, smudged image.",5,4,5,"Successfully applies minimalism via geometric abstraction and flat color blocks. Structure is preserved through recognizable pose and object placement. No artifacts; clean, intentional stylization."
Rococo__thomas-gainsborough_a-peasant-girl-with-dog-and-jug-1785__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; output is blurry and lacks Ukiyo-e characteristics. Structure is somewhat preserved but obscured by haze. Significant artifacts from poor style application.,2,3,2,Similar to QEdgePattn_e01; fails to apply Ukiyo-e style effectively. Output is washed out and hazy. Structure is retained but visually degraded. High artifact presence due to failed style mapping.,5,5,5,"Excellent Ukiyo-e style transfer with clear woodblock print aesthetics (flat colors, bold outlines, stylized clouds). Source structure (pose, objects, composition) is perfectly preserved. No visible artifacts; clean and coherent output."
Impressionism__eugene-boudin_the-port-ships-at-dock__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,DualPath_e01,Seedream_repaired750,4,2,3,2,Very faint Ukiyo-e influence; mostly retains source’s painterly texture with minimal stylization. Structure preserved but lacks stylistic fidelity.,3,5,3,"Good structural retention of masts and ships. Moderate Ukiyo-e coloring and linearity, but some smudging and color bleeding reduce artifact control.",5,4,5,"Strong Ukiyo-e aesthetic: flat color planes, bold outlines, stylized clouds and water. Minor softening in rigging details but overall clean and faithful to style."
Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and hazy; fails to capture minimalism’s clean geometry or flat color blocks. Structure is preserved but obscured by noise-like artifacts.,2,3,2,Similar to QEdgePattn — suffers from excessive blur and lack of stylistic clarity. Minimalist intent is not conveyed; artifacts dominate visual quality.,5,5,5,"Excellent adherence to minimalism: bold flat colors, simplified forms, geometric shapes, and clean lines. Source structure fully preserved with no visible artifacts."
Ukiyo_e__hiroshige_hakone-kosuizu__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e01,Seedream_repaired750,4,2,5,4,Preserves source structure perfectly but fails to apply Renaissance style; output is nearly identical to source.,2,5,4,Identical to QEdgePattn_e01; preserves structure but ignores target style.,5,4,5,Successfully applies Early Renaissance style with appropriate color and texture while maintaining good structural fidelity and minimal artifacts.
