case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,Hold4TwoStage_e12_style_specificity,Hold4TwoStage_e12_structure_preservation,Hold4TwoStage_e12_artifact_control,Hold4TwoStage_e12_note
Rococo__carl-ludwig-johann-christineck_portrait-of-paul-of-russia-dressed-as-chevalier-of-the-order-of-st-andrew-1760__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed-out; lacks Rococo ornamental detail and color vibrancy. Structure is preserved but style is weak.,5,5,5,"Excellent Rococo aesthetic: ornate frame, soft pastel tones, delicate brushwork feel. Faithful to source structure with no visible artifacts.",2,2,1,Severe structural distortion and patchy artifacts. Style is barely recognizable as Rococo; heavy degradation in quality.
Rococo__joshua-reynolds_colonel-george-k-h-coussmaker-grenadier-guards__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; style is vague and lacks Ukiyo-e characteristics. Structure is preserved but obscured by haze. Heavy artifacts from over-smoothing.,5,5,5,"Excellent Ukiyo-e style with bold outlines, flat color areas, and stylized features. Structure is perfectly preserved. No visible artifacts; clean and crisp output.",3,3,2,"Some Ukiyo-e influence in color palette and softness, but lacks defining line work. Structure is somewhat distorted with smearing. Noticeable artifacts and loss of detail."
Early_Renaissance__sandro-botticelli_trinity(1)__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Faint impressionistic washes applied but lack color vibrancy and brushwork; structure partially preserved but overly blurred.,5,5,5,"Excellent Impressionist style with visible brushstrokes, warm palette, and soft edges; source structure fully preserved with no artifacts.",3,2,2,Overly desaturated and washed-out; structure significantly degraded with ghosting and loss of detail; minimal stylistic fidelity.
Impressionism__edouard-manet_tarring-the-boat-1873__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Strong structural fidelity but poor style transfer; appears as a faded, low-contrast version of source with minimal Renaissance characteristics. Heavy vignetting and color distortion reduce artifact control.",5,5,5,"Excellent balance: preserves source structure while applying Early Renaissance style (warm tones, soft edges, aged paper texture). Minimal artifacts; clean integration of style without over-smoothing or distortion.",3,2,2,Style is somewhat present but overly diffuse and hazy; structure is blurred and details lost. High artifact presence due to excessive smoothing and loss of edge definition.
Minimalism__yves-klein_untitled-yellow-monochrome-1956__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,2,Very low fidelity to source; color is washed out and lacks Impressionist texture or brushwork. Structure is nearly lost.,5,5,5,Excellent preservation of source color and shape. Strong Impressionist texture applied uniformly without artifacts. Best overall.,3,4,3,Good structure retention but style application is uneven — left side shows heavy texture while right side is smoother. Some edge artifacts visible.
Ukiyo_e__kitagawa-utamaro_upon-my-oath__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Preserves structure well but lacks Ukiyo-e color and texture; appears washed out and sketchy.,5,5,5,"Excellent match to Ukiyo-e style with rich colors, bold lines, and faithful structure; minimal artifacts.",1,2,1,"Severely degraded output; structure is blurred, style is absent, and heavy artifacts dominate."
Early_Renaissance__jacopo-bellini_view-of-a-fortification-of-jerusalem(1)__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Preserves architectural structure well but lacks color and texture of Early Renaissance; appears as a faded sketch with minimal stylistic transfer.,5,5,5,"Excellent match to Early Renaissance style: rich colors, chiaroscuro, detailed textures, and faithful structural rendering with no visible artifacts.",1,2,2,"Severely degraded output; structure is nearly lost, style is absent, and heavy blurring/noise introduces significant artifacts."
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Faint Rococo color hints but mostly washed out; structure preserved but lacks vibrancy and detail.,5,5,5,"Excellent Rococo styling with ornate details, rich colors, and clean structure; no visible artifacts.",3,3,1,Some Rococo elements present but heavily distorted by blocky artifacts; structure partially lost.
Early_Renaissance__filippo-lippi_confirmation-of-the-carmelite-rule__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out style with poor color fidelity and heavy blurring; structure is partially preserved but lacks definition.",5,5,5,"Excellent Early Renaissance style transfer with accurate palette, clear figure composition, and minimal artifacts; closely matches target reference.",2,2,2,"Overly faded and noisy output; style is indistinct, structure is heavily degraded, and significant visual artifacts are present."
Ukiyo_e__utagawa-kunisada_not_detected_240353__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,Excellent minimalism with bold color blocks and clean geometry; source structure well preserved; no visible artifacts.,2,2,2,"Extremely faded and low-contrast; minimalism absent, structure poorly retained, heavy noise/artifacts present."
Early_Renaissance__filippo-lippi_confirmation-of-the-carmelite-rule__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low Rococo style transfer; structure is somewhat preserved but heavily degraded by noise and color bleeding. Poor artifact control.,5,5,5,Excellent Rococo style capture with ornate framing and soft pastel tones. Structure is well-preserved within the stylized frame. Minimal artifacts.,3,2,2,Some Rococo color palette applied but lacks stylistic elements like ornamentation. Structure is blurred and distorted. Significant smudging and artifacts.
Rococo__bernardo-bellotto_pirna-seen-from-the-right-bank-of-the-elbe__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,4,Moderate Ukiyo-e influence with soft washes and muted tones; structure preserved but lacks bold outlines or flat color blocks typical of Ukiyo-e.,5,5,5,"Strong Ukiyo-e aesthetic: clear horizon lines, stylized clouds, flat color planes, and decorative water reflections closely match target style while preserving source structure cleanly.",2,3,2,Heavy blurring and smudging obscure details; minimal Ukiyo-e characteristics; significant artifacts degrade both style fidelity and structural clarity.
Rococo__dmitry-levitzky_portrait-of-unknown-woman-with-a-rose-1788__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly hazy and desaturated; loses Renaissance texture and color richness. Structure is preserved but obscured by blur.,5,5,5,"Excellent match to Early Renaissance portraiture: warm palette, soft chiaroscuro, detailed fabric rendering, and faithful structure with no artifacts.",3,4,2,Structure is mostly preserved but suffers from severe smudging and color bleeding on the torso and face. Style is partially captured but degraded by artifacts.
Impressionism__winston-churchill_distant-view-of-the-pyramids-1921-1(1)__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very washed-out, lacks Renaissance texture and color depth; structure preserved but style is too abstract and faded.",5,5,5,Excellent match to Early Renaissance palette and brushwork; structure fully preserved with no visible artifacts or distortion.,3,4,3,Moderate style transfer with some Renaissance tones but overly smooth and painterly; minor smudging artifacts near edges.
Early_Renaissance__benozzo-gozzoli_madonna-and-child-1485__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Preserves structure well but applies minimal impressionistic texture; colors remain too flat and original, lacking brushwork or atmospheric diffusion.",5,5,5,"Excellent impressionistic rendering with visible brushstrokes, soft edges, and color blending while perfectly preserving the original composition and figures.",3,2,2,Overly stylized with heavy blurring and loss of detail; structure is distorted and artifacts obscure key features like faces and halos.
Rococo__maurice-quentin-de-la-tour_marie-josephe-of-saxony-1__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and washed-out; lacks Rococo detail and ornamental richness. Structure is preserved but heavily degraded by diffusion artifacts.,5,5,5,"Excellent Rococo styling with ornate frame, soft lighting, and period-appropriate textures. Faithful to source structure with no visible artifacts.",3,2,1,"Severe structural distortion and hallucinated elements (e.g., extra limbs, warped face). Style is partially present but overwhelmed by artifacts."
Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Structure preserved well but style is washed out and lacks Impressionist brushwork; faint haze reduces clarity.,5,5,5,Excellent Impressionist texture and color harmony; structure intact with no visible artifacts or distortion.,3,3,2,Some stylistic elements present but overly bright and hazy; structure slightly blurred with noticeable overexposure artifacts.
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,4,3,"Faint, washed-out style; minimal Ukiyo-e traits. Structure mostly preserved but lacks stylistic fidelity.",5,5,5,Strong Ukiyo-e influence with bold lines and flat color blocks. Excellent structure retention and clean output.,3,3,2,"Moderate style transfer with visible artifacts and blurring. Structure partially degraded, especially in background."
Ukiyo_e__kitagawa-utamaro_the-hour-of-the-horse__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Very weak Early Renaissance style; heavy texture artifacts and color distortion; structure mostly preserved but degraded by noise.,5,5,5,"Strong Early Renaissance style transfer with accurate lighting, chiaroscuro, and painterly texture; excellent structure preservation and minimal artifacts.",3,4,3,Moderate style transfer with some Renaissance-like tones but inconsistent application; structure well preserved but noticeable smudging and color bleeding artifacts.
Minimalism__yves-gaucher_traces-2000__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,1,1,Completely blank output; no style or structure transferred.,4,4,4,Strong Ukiyo-e texture and color palette applied; horizontal line preserved with minor artifacts at boundary.,2,2,2,Faint Ukiyo-e wash effect but heavily blurred; structure barely visible with significant smearing.
Rococo__thomas-gainsborough_a-coastal-landscape-1782__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Overly washed out and hazy; loses color and texture of Impressionism. Structure is preserved but blurred into indistinct forms. Lacks brushwork and chromatic vibrancy.,5,5,5,"Excellent Impressionist style: visible brushstrokes, rich color palette, atmospheric lighting. Structure is well-preserved with clear composition. No artifacts or distortions.",3,4,4,Moderate style transfer — some softness and color blending present but muted. Structure is mostly intact but slightly smeared. Minor artifacts in sky and water areas.
Rococo__giovanni-domenico-tiepolo_the-new-world-1797__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly abstracted; figures and architecture are heavily distorted with vertical smearing. Style is vague and lacks impressionistic brushwork coherence.,5,5,5,"Excellent impressionistic rendering with visible brushstrokes, color blending, and atmospheric light. Structure of figures and buildings is well preserved. Minimal artifacts.",3,2,2,"Some impressionistic color and texture, but severe vertical streaking distorts structure. Figures are blurred and indistinct. Artifacts dominate the output."
Impressionism__nicolae-vermont_rotterdam-port-1928__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Very washed-out, lacks Ukiyo-e color and line quality; structure is preserved but style is nearly absent.",5,5,5,"Excellent Ukiyo-e style transfer with strong color palette, defined lines, and clear preservation of source structure and artifacts.",2,2,2,"Overly blurred and faded; loses both stylistic detail and structural clarity, resulting in a low-fidelity output."
Early_Renaissance__jacopo-bellini_view-of-a-fortification-of-jerusalem(1)__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Hold4TwoStage_e12,4,2,3,3,"Very faint, washed-out output; minimal style transfer evident, structure barely preserved, low artifacts but poor stylistic fidelity.",5,5,4,Strong minimalism achieved via flat color blocks and simplified geometry; source structure well-preserved; minor edge halos present.,2,3,5,"Extremely clean with no visible artifacts, but style transfer is nearly absent — output resembles faded source with no stylistic adaptation."
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very washed out and hazy; impressionistic brushwork is barely perceptible. Structure is preserved but obscured by heavy blur and low contrast. Significant artifacts from over-smoothing.,5,5,5,Excellent impressionistic style with visible brushstrokes and color blending. Structure is perfectly preserved with clear figures and composition. No visible artifacts; clean and high quality.,3,4,3,"Some impressionistic texture is present but inconsistent. Structure is mostly preserved but suffers from ghosting and smearing artifacts, especially in the background and figures. Lower fidelity than Seedream."
Impressionism__henri-matisse_brittany-also-known-as-boat-1896__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly washed out and abstract; loses structural clarity and fails to convey Early Renaissance style.,5,5,5,Excellent preservation of source structure with strong Early Renaissance stylistic rendering; clean output.,3,4,3,Moderate style transfer; some blurring and loss of detail but retains overall composition.
Ukiyo_e__kitagawa-utamaro_yama-uba-and-kintaro-1__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not achieved, structure partially preserved but details lost.",5,5,5,"Excellent minimalism with clean vector-like shapes, strong structure retention, and no visible artifacts.",2,3,2,"Similar to LBM — hazy, low contrast, minimalism absent, structure faintly preserved but degraded."
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Faint Rococo-like wash but lacks color and detail; structure is somewhat preserved but blurry; significant noise and low contrast artifacts.,5,5,5,"Excellent Rococo style transfer with appropriate pastel tones, ornate details, and soft lighting; source structure (arches, figures) well preserved; no visible artifacts.",2,2,1,Poor style adherence; heavy blocky artifacts and missing regions distort structure; appears as a failed or incomplete transfer with severe degradation.
Impressionism__william-merritt-chase_gray-day-on-the-lagoon-a-passenger-boat-venice__to__Early_Renaissance,Impressionism,Early_Renaissance,Hold4TwoStage_e12,Hold4TwoStage_e12,LBM-Knee_e13,Hold4TwoStage_e12,4,2,5,3,Preserves source structure well but fails to apply Early Renaissance style; appears as a faded copy with minimal stylistic transfer.,3,3,2,"Imposes a dark, moody painterly style that partially resembles Renaissance but lacks key stylistic markers; introduces heavy artifacts and distorts structure.",5,4,5,"Successfully applies Early Renaissance aesthetic (warm tones, textured brushwork, aged parchment effect) while preserving most structural elements and minimizing artifacts."
Ukiyo_e__katsushika-hokusai_ono-shindon-in-the-suraga-province__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,Preserves source structure perfectly but fails to apply Impressionist style; output is nearly identical to source with minimal stylistic change.,5,4,4,"Strongly applies Impressionist brushwork and color palette; slight softening of edges and minor loss of fine detail in figures, but overall excellent style transfer with good structural coherence.",3,3,3,Moderate Impressionist effect with visible smudging and haze; structure is somewhat blurred and figures lose definition; artifacts include uneven texture and washed-out areas.
Ukiyo_e__katsushika-hokusai_fishing-in-the-bay-uraga__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly washed out and blurry; minimalism not clearly expressed, structure is preserved but degraded by noise.",5,5,5,"Excellent style transfer with clean, bold shapes and flat colors matching minimalism; source structure well preserved with no artifacts.",3,4,3,"Moderate minimalism achieved; structure is mostly intact but suffers from excessive blur and low contrast, reducing clarity."
Rococo__thomas-gainsborough_robert-butcher-of-walthamstan__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Hold4TwoStage_e12,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Very blurry and washed out; minimal impressionistic texture or brushwork; structure is preserved but heavily degraded by blur.,4,5,5,"Excellent structure preservation with clear facial features and clothing details. Style is subtly applied — more like a soft-focus painting than full Impressionism, but clean and artifact-free.",5,2,3,"Strongest impressionistic brushwork and color blending, especially in background and face halo. However, structure is significantly distorted — face is smeared, edges are lost, and artifacts appear as glowing halos."
Minimalism__ellsworth-kelly_diagonal-1951__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, low-contrast diagonal line; minimal structure retained; heavy blur and loss of edge definition; poor style fidelity.",5,5,5,"Clean, sharp diagonal line on neutral background; excellent preservation of source geometry; no visible artifacts; strong minimalism alignment.",3,4,3,Diagonal line present but slightly jagged and noisy; structure mostly preserved; minor artifacts along line edge; moderate style match.
Early_Renaissance__bartolome-bermejo_death-of-the-virgin-1462__to__Rococo,Early_Renaissance,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Heavy vignetting and dark borders obscure content; style is vague and muddy, lacking Rococo elegance or detail.",5,5,5,"Excellent Rococo styling with ornate arches, soft pastel tones, and decorative elements; structure is well-preserved and clean.",3,4,3,"Some Rococo flair in lighting and color, but artifacts (e.g., floating head) and inconsistent rendering reduce quality."
Impressionism__edouard-manet_tarring-the-boat-1873__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very weak Rococo style; heavy smearing and loss of detail; structure partially preserved but distorted.,5,5,5,Excellent Rococo framing and ornamental style; source structure perfectly preserved; no visible artifacts.,3,4,3,Moderate Rococo influence with some decorative elements; structure mostly intact but with noticeable blurring and patchiness.
Ukiyo_e__utagawa-toyokuni_the-heian-courtier__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Fails to apply Ukiyo-e style; appears as a faded, desaturated version of the source with no stylistic markers.",5,5,5,"Excellent transfer of Ukiyo-e aesthetics (color palette, line work, texture) while perfectly preserving the source composition and figure details.",3,2,2,Shows some stylistic influence but suffers from severe blurring and ghosting artifacts that obscure the original structure.
Impressionism__nikolay-bogdanov-belsky_connoisseurs-of-books-knowledge-is-power__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very washed-out, low contrast; style transfer is weak and blurry, with poor color fidelity to Ukiyo-e.",5,5,5,"Excellent Ukiyo-e style match with bold outlines, flat colors, and stylized shading; structure preserved cleanly; no visible artifacts.",3,4,3,Moderate style transfer with some Ukiyo-e traits but overly hazy and desaturated; structure mostly intact but suffers from smudging and noise.
Ukiyo_e__utagawa-kunisada-ii_oichi-from-the-beauties-of-tokyo-series__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,3,4,3,Moderate impressionistic brushwork applied; structure mostly preserved but with slight color bleeding and softening of edges.,5,5,5,Excellent impressionist texture and color blending while perfectly preserving original composition and fine details; no visible artifacts.,2,3,2,Very faint impressionist overlay; structure is blurred and washed out; significant loss of detail and low contrast indicate poor artifact control.
Rococo__giovanni-domenico-tiepolo_christ-s-fall-on-the-way-to-calvary-1772__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Hold4TwoStage_e12,4,2,3,3,"Faint, washed-out output; minimal stylistic abstraction, retains some structure but lacks clarity and artistic intent.",5,5,4,Strong geometric abstraction aligned with minimalism; clear structural mapping from source; minor color bleeding but overall clean.,2,2,5,Very smooth and artifact-free but overly blurred; fails to convey minimalism or preserve meaningful structure.
Minimalism__frank-stella_gezira-from-black-series-ii-1967__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Faint, washed-out Ukiyo-e texture; structure preserved but style is weak and lacks color/ink depth.",5,5,5,"Excellent Ukiyo-e ink-line fidelity, crisp geometric pattern, clean background, no artifacts — best match to target style.",3,4,2,Structure mostly preserved but heavy white noise/artifacts distort the pattern; style partially captured but degraded by noise.
Early_Renaissance__domenico-ghirlandaio_st-jerome__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Faint, washed-out output with minimal stylistic interpretation; structure is barely preserved and artifacts dominate.",5,5,5,"Clean, bold graphic style with clear structural fidelity and no visible artifacts; best matches minimalism intent.",2,3,2,"Similar to LBM — overly faded, low contrast, poor style transfer, and heavy blurring/artifacts degrade quality."
Minimalism__john-mclaughlin_number-13-1973__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Fails to capture minimalism; introduces heavy blur and color wash, losing both style intent and structural clarity.",5,5,5,"Perfectly preserves source structure while applying clean, high-contrast minimalism matching the target reference with no artifacts.",3,4,3,"Retains structure well but applies a muted, grayish tone that lacks the boldness of minimalism; slight softening reduces sharpness."
Impressionism__nicolae-vermont_rotterdam-port-1928__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,"Preserves source structure perfectly with minimal artifacts, but applies only a generic painterly texture without any Rococo stylistic elements.",5,4,3,"Excellent Rococo style transfer via the ornate frame, though the frame obscures the original image structure and introduces some visual clutter.",3,2,1,"Shows some Rococo color palette but suffers from severe structural distortion and heavy artifacts, particularly in the sky."
Ukiyo_e__katsushika-hokusai_woman-looking-at-herself-in-a-mirror__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faint, washed-out output with minimal stylistic fidelity to Ukiyo-e; structure is barely discernible and lacks detail.",5,5,5,"Excellent match to Ukiyo-e style: bold lines, flat color areas, traditional composition, and clear figure rendering. Structure preserved perfectly with no artifacts.",2,2,2,"Extremely blurry and degraded; style elements are nearly absent, structure is lost, and heavy compression artifacts dominate the image."
Ukiyo_e__kitagawa-utamaro_upon-my-oath__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; output is nearly identical to source with minimal stylistic influence. Structure preserved but lacks artistic intent. High noise/blur artifacts.,5,5,5,"Excellent minimalism: clean background, simplified forms, restrained color palette. Faithful to source structure while applying target style effectively. No visible artifacts.",3,4,3,"Moderate style transfer — some simplification and muted tones, but retains too much detail from source. Structure well preserved. Minor smudging/artifacts in background."
Ukiyo_e__keisai-eisen_yabai-with-two-women-1840__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,"Faint, washed-out style with minimal Renaissance characteristics; structure is somewhat preserved but lacks detail and depth.",5,5,5,"Strong Early Renaissance style with rich color, anatomical accuracy, and clear structure; minimal artifacts.",3,4,4,Moderate style transfer with some Renaissance elements; structure is mostly preserved but with slight blurring and color inconsistencies.
Ukiyo_e__hiroshige_oiso-toraga-ame-shower-1835__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Poor style transfer; retains source aesthetic with minimal Renaissance influence. Structure is preserved but colors and textures are inconsistent. Heavy artifacts and blurring degrade quality.,5,5,5,Excellent style transfer matching Early Renaissance tone and texture. Structure is well-preserved with natural lighting and shading. Minimal artifacts; clean and coherent output.,3,4,3,Moderate style transfer with some Renaissance-like tones but inconsistent application. Structure is mostly preserved but suffers from smudging and color bleeding. Noticeable artifacts in background and figures.
Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out rendering; minimal stylistic transfer; structure preserved but lacks Renaissance texture and color depth.",5,5,5,"Excellent Early Renaissance style match with rich colors, chiaroscuro, and period-appropriate details; structure fully preserved; no visible artifacts.",3,4,3,Moderate style transfer with some color saturation and texture; structure mostly intact; slight blurring and haze reduce clarity.
Minimalism__robert-morris_box-with-the-sound-of-its-own-making-1961__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Renaissance style; overly translucent/ghostly rendering of the cube; noticeable artifacts and loss of material realism.,5,5,5,Strong Early Renaissance aesthetic with warm chiaroscuro and matte textures; excellent preservation of cube geometry and proportions; clean output with minimal artifacts.,3,2,1,Some stylistic warmth but heavy smudging and blur distort structure; significant artifacts and loss of edge definition; poor artifact control.
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out output with minimal stylistic interpretation; structure is barely discernible and lacks clarity or artistic intent.",5,5,5,"Strong minimalist aesthetic with bold shapes, high contrast, and clean composition; source structure preserved effectively without artifacts.",2,2,3,"Overly blurred and low-contrast; fails to convey minimalism clearly and loses structural detail, though no harsh artifacts present."
Minimalism__dan-flavin_greens-crossing-greens-to-piet-mondrian-who-lacked-green-1966__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,"Excellent structure and artifact control, but very weak Ukiyo-e style transfer; appears mostly grayscale with minimal stylistic features.",5,4,4,Strongest Ukiyo-e style match with appropriate color palette and texture; slight softening of edges but overall excellent balance.,3,3,2,"Moderate style attempt but introduces significant artifacts (dark smudges, inconsistent lighting) and distorts structure; least coherent output."
Ukiyo_e__utagawa-kuniyoshi_a-man-confronted-with-an-apparition-of-the-fox-goddess__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,3,4,3,"Moderate Ukiyo-e style with muted colors and some line work, but lacks vibrancy and detail. Structure is mostly preserved but slightly blurred. Some artifacts in background and text areas.",5,5,5,"Excellent Ukiyo-e style with vibrant colors, clear lines, and traditional aesthetic. Structure is well-preserved with minimal distortion. Very few artifacts; clean output.",2,3,2,"Weak Ukiyo-e style; appears washed out and lacks characteristic color and line quality. Structure is somewhat distorted, especially in the figure’s face and clothing. Noticeable artifacts and noise throughout."
