case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-Knee_e13_style_specificity,LBM-Knee_e13_structure_preservation,LBM-Knee_e13_artifact_control,LBM-Knee_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,QEdgePattn_e03_style_specificity,QEdgePattn_e03_structure_preservation,QEdgePattn_e03_artifact_control,QEdgePattn_e03_note
Early_Renaissance__leonardo-da-vinci_studies-of-a-bewalking__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,4,5,Preserves source sketch structure well but fails to apply Impressionist style; appears as uncolored line art.,5,5,5,"Excellent Impressionist rendering with visible brushwork, color harmony, and faithful structural retention of the bear and paw.",1,4,5,Similar to LBM — retains structure but lacks stylistic transformation; no color or texture applied.
Rococo__antoine-watteau_the-delicate-musician__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Fails to capture minimalism; output is blurry and painterly with no clear geometric simplification or reduction. Structure is partially preserved but obscured by haze.,5,5,5,"Excellent minimalism: clean geometric planes, reduced color palette, simplified forms. Structure is well-preserved with sharp edges and clear composition. No artifacts.",2,3,2,"Similar to LBM — overly soft, painterly, and lacks minimalism’s defining traits. Structure is faintly visible but degraded by blur and noise-like artifacts."
Rococo__thomas-gainsborough_a-peasant-girl-with-dog-and-jug-1785__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very washed out and blurry; lacks Ukiyo-e color and line quality. Structure is preserved but heavily degraded by haze.,5,5,5,"Excellent Ukiyo-e aesthetic with appropriate colors, textures, and background elements. Source structure is perfectly preserved with no artifacts.",2,3,2,"Similar to LBM, this output is overly hazy and lacks distinct Ukiyo-e stylistic markers. Structure is visible but obscured by noise-like artifacts."
Impressionism__eugene-boudin_the-port-ships-at-dock__to__Ukiyo_e,Impressionism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Very faint Ukiyo-e influence; mostly retains source’s impressionistic style. Structure preserved but lacks stylistic transformation.,5,5,5,"Strong Ukiyo-e aesthetic with bold outlines, flat color planes, and stylized sky/water. Excellent structure retention and minimal artifacts.",3,4,4,Moderate Ukiyo-e flavor with some edge emphasis and muted tones. Structure well preserved but style less distinct than Seedream.
Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed-out; minimalism not clearly expressed, structure partially preserved but lacks clarity.",5,5,5,"Excellent minimalism with clean geometry, strong structure retention, and no visible artifacts.",2,3,2,"Similar to LBM — overly diffuse, minimalism not well captured, structure faintly preserved, some noise/artifacts."
Ukiyo_e__hiroshige_hakone-kosuizu__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,QEdgePattn_e03,QEdgePattn_e03,QEdgePattn_e03,QEdgePattn_e03,4,3,4,3,Moderate style transfer with some Renaissance texture but lacks depth; structure preserved well; minor artifacts in color blending.,4,3,4,Strong Renaissance style application with good color harmony; slight structural distortion in mountain forms; clean output overall.,5,5,5,"Excellent fusion of source structure and Early Renaissance style; natural textures, balanced lighting, no visible artifacts."
Minimalism__william-scott_bowl-white-on-grey-1962__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,4,2,5,5,"Preserves source structure perfectly with minimal artifacts, but fails to apply Rococo style — output is nearly identical to source.",5,3,3,"Strong Rococo ornamental style applied successfully, but distorts original shield shape and introduces visible texture artifacts.",2,4,4,"Maintains good structural fidelity and low artifacts, but applies no discernible Rococo style — appears as a blurred version of source."
Rococo__dmitry-levitzky_portrait-of-unknown-woman-with-a-rose-1788__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed out; lacks Ukiyo-e linearity and color contrast. Structure is preserved but style is weak.,5,5,5,"Excellent Ukiyo-e stylization with bold outlines, flat color regions, and traditional composition. Faithful to source structure and clean output.",3,4,3,"Moderate Ukiyo-e influence with some line work and color blocking, but suffers from smudging and inconsistent edge definition. Structure mostly preserved."
Rococo__antoine-pesne_carl-heinrich-graun__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,2,Structure preserved but style is heavily blurred and lacks Renaissance color/texture; artifacts from over-smoothing dominate.,5,5,5,"Excellent Early Renaissance style transfer with rich colors, proper lighting, and clean structure; no visible artifacts.",2,4,2,Similar to LBM-Knee_e13 — structure intact but style is washed out and hazy; lacks Renaissance chromatic richness and detail.
Minimalism__joan-hernandez-pijuan_untitled-120-1999__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,"Minimal style transfer; lines remain crisp and untextured. Structure preserved but lacks Impressionist brushwork or color blending. No major artifacts, but also no stylistic fidelity.",5,5,5,"Strong Impressionist texture applied to lines with visible brushstroke-like variation. Structure perfectly preserved. Clean output with no artifacts — best balance of style, structure, and cleanliness.",3,4,4,"Some softening and color bleed suggesting attempted style, but inconsistent. Structure mostly intact. Minor artifacts in line edges and background smudging. Less coherent than Seedream."
Rococo__giovanni-domenico-tiepolo_the-new-world-1797__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly stylized with vertical streaking; loses Renaissance texture and detail; structure partially preserved but distorted.,5,5,5,Excellent match to Early Renaissance style; faithful structure; minimal artifacts; natural color and brushwork.,3,4,3,Moderate style transfer; structure mostly intact; some edge artifacts and color bleeding reduce fidelity.
Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440__to__Minimalism,Early_Renaissance,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out rendering; minimal stylistic alignment with minimalism; structure partially preserved but heavily degraded by noise and blur.",5,5,5,"Clean, bold geometric shapes and flat color fields align well with minimalism; source composition faithfully preserved; no visible artifacts.",2,3,2,"Similar to LBM output — overly diffuse, low-contrast, and lacking clear stylistic intent; structure faintly retained but obscured by smudging."
Early_Renaissance__andrea-mantegna_adoration-of-the-magi-central-panel-from-the-altarpiece__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very faint impressionistic texture; structure is preserved but overly washed out; lacks color vibrancy and brushwork detail.,5,5,5,Excellent impressionist brushwork and color palette; source structure perfectly preserved; no visible artifacts or distortions.,3,4,3,Moderate impressionist feel with some edge artifacts; structure is mostly intact but slightly blurred; style application is inconsistent.
Impressionism__claude-monet_bordighera-the-house-of-gardener__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly abstracted, loses source structure; style is vague and noisy, not clearly Early Renaissance.",5,5,5,Excellent preservation of source structure; strong Early Renaissance painterly style with controlled artifacts.,3,4,3,Good structure retention but style is muted and slightly washed out; some edge artifacts visible.
Minimalism__mira-schendel_untitled-1984__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,1,1,Completely blurred; no style or structure preserved.,5,5,5,Excellent Ukiyo-e style transfer with clear structure and minimal artifacts.,2,2,2,Some style elements present but heavily blurred; structure and artifacts poorly controlled.
Rococo__carl-ludwig-johann-christineck_nikolai-mordvinov-1771__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Heavy foggy blur obscures detail; style transfer is weak and indistinct, with poor artifact control.",5,5,5,Excellent preservation of source structure and strong Early Renaissance stylistic rendering with minimal artifacts.,3,4,3,Moderate style transfer with some haze; structure is mostly preserved but artifacts reduce clarity.
Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out style; poor color fidelity and texture loss; structure mostly intact but overly blurred.",5,5,5,"Excellent Early Renaissance style match with rich colors, clear architecture, and no visible artifacts; structure perfectly preserved.",3,4,3,Moderate style transfer with some color saturation; structure well preserved but slight edge smearing and minor artifacts.
Impressionism__eugene-boudin_trouville-the-fish-market-1884__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly blurred and washed-out; loses Renaissance color richness and detail. Structure is somewhat preserved but degraded by heavy smoothing.,5,5,5,Excellent match to Early Renaissance palette and texture. Preserves architectural and figure structure cleanly with minimal artifacts.,3,4,3,Moderate style transfer with some Renaissance tones but lacks depth and richness. Structure is mostly intact but edges show slight haloing.
Early_Renaissance__pietro-perugino_giovanni-colombini__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very washed-out, lacks Ukiyo-e color and line quality; structure is preserved but overly blurred.",5,5,5,Excellent Ukiyo-e aesthetic with strong line work and color palette; perfectly preserves source structure with no artifacts.,3,4,3,Better than LBM but still lacks the distinct ink lines and saturation of Ukiyo-e; structure is good but slightly soft.
Ukiyo_e__katsushika-hokusai_fishing-in-the-bay-uraga__to__Early_Renaissance,Ukiyo_e,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faded, washed-out appearance; lacks Renaissance color depth and texture. Structure is preserved but overly degraded. Heavy artifacts from over-smoothing or poor style transfer.",5,5,5,"Excellent match to Early Renaissance palette and brushwork feel. Source structure (fishing scene, horizon, figures) is well preserved. Minimal artifacts; clean, cohesive output.",3,4,3,Moderate style transfer with some Renaissance tones but inconsistent saturation. Structure mostly intact but edges show slight distortion. Some vignetting and color bleeding artifacts present.
Minimalism__agnes-martin_happy-valley-1967__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,4,"Very faint, almost blank output; minimal style transfer visible but preserves source structure well with no artifacts.",5,5,5,"Clean, faithful minimalism: flat color blocks, clean edges, no noise or distortion. Best overall match to target style and source structure.",3,2,2,"Blurred, indistinct output with heavy artifacts; loses both style clarity and structural integrity of source."
Rococo__dmitry-levitzky_portrait-of-unknown-woman-with-a-rose-1788__to__Minimalism,Rococo,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure lost in haze.",5,5,5,"Clean geometric simplification, strong minimalism, excellent structure retention, no visible artifacts.",2,3,2,"Similar to LBM — overly soft, lacks clear minimalist structure, heavy blur reduces fidelity."
Early_Renaissance__filippo-lippi_adoration-of-the-magi-detail-2__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Very faint Ukiyo-e influence; structure preserved but style is washed out and lacks characteristic line work or color palette.,5,5,5,"Excellent Ukiyo_e style transfer with bold lines, flat color areas, and traditional composition. Structure perfectly preserved with no artifacts.",3,4,4,"Moderate Ukiyo_e styling with some line definition and color shifts, but less consistent than Seedream. Minor softness in edges but overall clean."
Minimalism__ronald-davis_zig-zag-times-two-1966__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,LBM-Knee_e13,5,2,5,5,"Perfectly preserves the source geometry and clean edges, but applies almost no Rococo style—appears as a flat purple shape with minimal texture or ornamentation.",5,3,3,"Strongly captures Rococo aesthetics with ornate gilded frames, floral motifs, and soft pastel gradients. Structure is somewhat distorted due to heavy stylistic overlay, and minor artifacts appear in frame symmetry.",1,2,2,"Fails to convey Rococo style; appears as a blurred, low-resolution version of the source shape with no discernible stylistic elements. Significant blur and loss of edge definition indicate poor artifact control."
Early_Renaissance__andrea-mantegna_maria-with-the-sleeping-child-1455__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly hazy and desaturated; loses Renaissance color richness and detail. Structure is preserved but softened excessively.,5,5,5,"Excellent preservation of source structure with faithful Early Renaissance styling: rich colors, soft chiaroscuro, and appropriate texture without artifacts.",3,4,3,Moderate style transfer with some haze and loss of saturation. Structure is mostly preserved but edges appear slightly blurred or smudged.
Ukiyo_e__utagawa-kunisada_not_detected_240381(1)__to__Impressionism,Ukiyo_e,Impressionism,QEdgePattn_e03,QEdgePattn_e03,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Fails to apply Impressionist style; retains source’s flat, graphic aesthetic with minimal textural variation. Structure is preserved but lacks stylistic transformation.",3,5,5,"Excellent structure preservation and clean output. Style is partially applied — some brushwork and color blending suggest Impressionism, but not fully convincing or consistent across the image.",5,4,4,"Strongest Impressionist style transfer: visible brushstrokes, soft edges, and atmospheric color blending. Minor structural distortion in figure contours, but overall most faithful to target style."
Minimalism__tony-smith_die-1968__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Frosted, low-contrast cube; minimal impressionist texture or brushwork; structure preserved but style absent.",5,5,5,"Strong impressionist rendering with visible brushstrokes, atmospheric lighting, and color variation; cube geometry intact; no artifacts.",2,4,3,Similar to LBM — overly smooth/frosted appearance; lacks impressionist texture; structure preserved but style not applied.
Impressionism__william-merritt-chase_gray-day-on-the-lagoon-a-passenger-boat-venice__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,3,4,3,Moderate impressionistic brushwork but overly washed-out and lacks color richness; structure is preserved but details are blurred.,5,5,5,"Excellent impressionist style with vibrant, textured brushstrokes; structure and composition are well preserved with minimal artifacts.",4,4,4,"Good impressionist texture and color, but slightly less refined than Seedream; minor edge artifacts and slight over-smoothing in water areas."
Minimalism__ruth-vollmer_trimer-monomer-dimer-1965__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Weak Rococo style; objects appear metallic/ghostly with poor texture fidelity and heavy vignetting artifacts.,5,5,5,"Excellent Rococo style transfer with ornate background, accurate object structure, and clean rendering with no visible artifacts.",3,4,3,Moderate Rococo influence via border/frame; objects retain shape but have unnatural metallic sheen and slight edge halos.
Minimalism__sean-scully_untitled-1973__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,"Very faint, washed-out style; lacks Ukiyo-e character. Structure is preserved but edges are soft and blurry. Minimal artifacts but poor stylistic fidelity.",5,5,5,"Excellent Ukiyo-e style transfer with clear line work and color palette matching the reference. Structure is perfectly preserved with sharp, clean edges. No visible artifacts.",3,4,4,Moderate style transfer with some Ukiyo-e feel but less defined than Seedream. Structure is well-preserved with slight softness. Minor color bleeding artifacts present.
Rococo__jean-marc-nattier_portrait-of-louis-tocqu-1762__to__Early_Renaissance,Rococo,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very low style transfer; image appears faded and washed out with minimal stylistic influence from Early Renaissance. Structure is preserved but lacks texture or color depth.,5,5,5,"Excellent style transfer with rich, warm tones and painterly texture reminiscent of Early Renaissance portraiture. Structure is well-preserved with no visible artifacts.",3,4,3,Moderate style transfer with some atmospheric haze and soft edges. Structure is mostly intact but suffers from slight blurring and loss of fine detail.
Minimalism__joan-hernandez-pijuan_nuvol-rosa-2-1990__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out rendering; minimalism not clearly expressed; structure preserved but poorly defined; heavy noise/artifacts.",5,5,5,"Clean, solid pink background with crisp oval outline — strong minimalism; perfect structure retention; no visible artifacts.",3,4,3,Oval structure preserved well; style is ambiguous — too textured for minimalism; some blotchy artifacts reduce clarity.
Minimalism__judy-chicago_morning-fan-1971__to__Minimalism,Minimalism,Minimalism,QEdgePattn_e03,QEdgePattn_e03,QEdgePattn_e03,QEdgePattn_e03,4,3,3,3,Moderate minimalism with soft gradients; structure is preserved but lacks sharpness; some halo artifacts at edges.,2,2,2,Over-saturated colors and strong color bleeding; structure is distorted; noticeable artifacts and loss of clean minimal aesthetic.,5,5,5,"Excellent minimalism: clean vertical bands, muted pastel tones, no visible artifacts, and perfect structural alignment with source."
Early_Renaissance__andrea-mantegna_scenes-from-the-life-of-st-james-1448-2__to__Early_Renaissance,Early_Renaissance,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Very faint, washed-out style transfer; structure preserved but lacks Renaissance color and texture richness.",5,5,5,"Excellent match to Early Renaissance style with rich colors, architectural detail, and figure rendering; structure fully preserved; no visible artifacts.",3,4,2,"Moderate style application with some color and texture; structure mostly intact but suffers from edge halos and blotchy artifacts, especially at borders."
Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre__to__Rococo,Impressionism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Heavy blur and loss of detail; minimal Rococo influence; structure partially preserved but obscured by noise.,5,5,5,Excellent Rococo framing and ornamental borders; source structure fully preserved; clean output with no visible artifacts.,3,4,3,Some Rococo texture applied but inconsistent; structure mostly intact; mild edge artifacts and uneven stylization.
Ukiyo_e__kitagawa-utamaro_upon-my-oath__to__Impressionism,Ukiyo_e,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Faint impressionistic washes applied but lack color richness and brushwork; structure preserved but overly muted; artifacts include ghosting and low contrast.,5,5,5,Strong Impressionist palette and texture applied while preserving original composition and details; no visible artifacts; excellent balance of style and content fidelity.,2,4,3,Structure well preserved but style transfer is weak — mostly grayscale with minimal color; slight edge artifacts and inconsistent blending reduce overall quality.
Minimalism__imi-knoebel_weiss-und-schwarz-4-2009__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,4,2,4,5,Minimal style transfer; retains source geometry and lighting but lacks Renaissance texture or palette. Clean output with no artifacts.,5,5,4,"Strong Early Renaissance aesthetic: parchment-like texture, aged tones, architectural framing, and subtle chiaroscuro. Structure preserved well; minor edge softening.",3,4,3,Moderate style influence with muted earth tones and slight vignetting. Structure intact but edges show minor haloing; less cohesive than Seedream.
Ukiyo_e__utagawa-kuniyoshi_a-record-of-origins-of-the-great-country-of-japan__to__Minimalism,Ukiyo_e,Minimalism,QEdgePattn_e03,QEdgePattn_e03,Seedream_repaired750,QEdgePattn_e03,4,2,3,3,"Overly blurred and washed out; minimalism not well captured, structure partially preserved but details lost.",3,5,4,"Excellent structure retention and clean output, but style is too close to source — lacks minimalism abstraction.",5,4,5,"Best balance: strong minimalism via edge abstraction, good structure retention, no visible artifacts."
Minimalism__robert-mangold_ellow-black-zone-painting-iv-1996__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e03,Seedream_repaired750,4,2,4,3,Minimal style transfer; mostly preserves source structure with flat color blocks and no impressionistic texture or brushwork.,5,4,5,Strong impressionistic rendering with visible brushstroke-like textures and color blending; structure preserved well with minor softening.,3,5,4,Good structural fidelity but weak style transfer; slight smudging and muted tones suggest partial impressionism without full texture application.
Rococo__antoine-watteau_head-of-a-man__to__Impressionism,Rococo,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,Very faint impressionistic wash; structure preserved but style is weak and indistinct.,5,5,5,Strong impressionist brushwork and color harmony; excellent structure retention and clean output.,2,3,3,"Similar to LBM — minimal style transfer, mostly preserves original sketch with slight blue wash; no strong impressionist traits."
Minimalism__william-scott_bowl-white-on-grey-1962__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,3,2,"Fails to apply Ukiyo-e style; appears as a blurred, low-detail copy of source with no stylistic elements.",5,5,5,"Excellent Ukiyo-e style transfer with appropriate color palette, line work, and texture. Structure is well-preserved and artifacts are minimal.",2,4,3,Shows some stylistic influence but is overly washed out and lacks detail. Structure is preserved but style application is weak and inconsistent.
Impressionism__antoine-blanchard_place-de-la-madeleine-hiver__to__Minimalism,Impressionism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,3,Overly blurred and washed out; loses stylistic intent of minimalism while retaining some structure but with heavy noise-like artifacts.,5,5,5,"Excellent preservation of scene structure with clean, minimalist aesthetic matching target reference; no visible artifacts.",3,4,4,Moderate minimalism achieved; structure mostly preserved but with slight over-smoothing and minor haloing around edges.
Ukiyo_e__kitagawa-utamaro_the-hour-of-the-horse__to__Minimalism,Ukiyo_e,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Overly blurred and washed out; minimalism not clearly expressed, structure partially preserved but details lost.",5,5,5,"Excellent minimalism with clean geometry, strong structure retention, and no visible artifacts.",2,3,2,"Similar to LBM-Knee_e13 — overly diffuse, lacks clear minimalist structure, and shows significant blur artifacts."
Minimalism__ruth-vollmer_trimer-monomer-dimer-1965__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,Minimal style transfer; appears mostly unaltered with slight smoothing. Structure preserved well but lacks impressionistic texture or color.,5,5,5,"Strong impressionistic rendering with visible brushwork, warm tones, and textured surface while preserving object shape and spatial layout. No artifacts.",3,4,4,"Some stylistic influence (soft edges, muted tones) but weak impressionism. Structure intact, minor blurring artifacts present."
Minimalism__fernando-lanhas_o39-68-1968__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,QEdgePattn_e03,QEdgePattn_e03,4,2,4,4,Minimal style transfer; mostly preserves source geometry with no visible Ukiyo-e texture or color.,5,3,3,Strong Ukiyo-e style application with wave patterns and warm tones; some structural distortion and horizontal banding artifacts.,3,5,5,Excellent structure preservation and clean output; subtle stylization with faint texture but lacks strong Ukiyo-e identity.
Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440__to__Ukiyo_e,Early_Renaissance,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Faint, washed-out Ukiyo-e style; structure partially preserved but overly blurred; significant artifacts and loss of detail.",5,5,5,Excellent Ukiyo_e style fidelity with bold lines and color blocking; source structure perfectly preserved; minimal to no artifacts.,2,3,2,Weak Ukiyo_e style application; structure faintly visible but degraded; noticeable smudging and artifacting throughout.
Ukiyo_e__ogata-gekko_print-from-series-women-s-customs-and-manners-1895-1__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,4,3,"Very faint, washed-out style; lacks Ukiyo-e color and line quality. Structure preserved but too desaturated.",5,5,5,"Excellent Ukiyo-e style transfer with bold colors, clear lines, and faithful structure. Minimal artifacts.",3,4,2,Moderate style attempt but suffers from heavy smudging and blur artifacts. Structure mostly intact but visually degraded.
Impressionism__konstantin-korovin_arctic-ocean-1913__to__Impressionism,Impressionism,Impressionism,Seedream_repaired750,Seedream_repaired750,LBM-Knee_e13,QEdgePattn_e03,4,2,5,4,Preserves source structure well but lacks impressionistic brushwork and color vibrancy; appears washed out.,5,3,3,Strong impressionist style with rich colors and visible brushstrokes; some structural distortion in waves and horizon.,3,4,5,"Clean output with minimal artifacts and good structural fidelity, but style application is muted and lacks expressive texture."
Rococo__carl-ludwig-johann-christineck_portrait-of-paul-of-russia-dressed-as-chevalier-of-the-order-of-st-andrew-1760__to__Rococo,Rococo,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Overly blurred and washed out; lacks Rococo ornamentation and color richness. Structure is preserved but degraded by haze.,5,5,5,"Excellent Rococo styling with ornate frame, soft pastel palette, and preserved facial/attire structure. Clean output with no visible artifacts.",2,3,2,"Similar to LBM — overly diffuse, low contrast, and missing stylistic detail. Structure is somewhat retained but obscured by blur."
Rococo__joshua-reynolds_colonel-george-k-h-coussmaker-grenadier-guards__to__Ukiyo_e,Rococo,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very blurry and washed-out; minimal Ukiyo-e characteristics, heavy artifacts, poor detail retention.",5,5,5,"Excellent Ukiyo-e style transfer with clear linework, flat color areas, and strong structural fidelity to source. Minimal artifacts.",3,3,3,Moderate style adoption with some softness and haze; structure preserved but less crisp than D; minor artifacts in background.
Early_Renaissance__sandro-botticelli_trinity(1)__to__Impressionism,Early_Renaissance,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very washed out and low contrast; impressionistic brushwork is barely perceptible. Structure is preserved but faded. Heavy artifacts from over-smoothing or poor style transfer.,5,5,5,Excellent impressionistic rendering with visible brushstrokes and color blending while preserving the original composition and figures. No visible artifacts. Best overall result.,3,4,3,"Moderate impressionistic effect with some color variation, but lacks rich brushwork texture. Structure is mostly preserved. Some blurring and loss of fine detail (e.g., faces, drapery) introduce mild artifacts."
Impressionism__edouard-manet_tarring-the-boat-1873__to__Early_Renaissance,Impressionism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,3,4,3,Moderate Early Renaissance texture and color wash; some structural fidelity but noticeable smudging and edge softening.,5,5,5,"Excellent match to Early Renaissance sketch-like texture, strong structural retention, minimal artifacts — best overall.",4,4,4,Good stylistic emulation with visible edge patterns; slight over-sharpening and minor haloing near high-contrast areas.
Minimalism__yves-klein_untitled-yellow-monochrome-1956__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,Very faint impressionistic texture; structure preserved but style is weak and washed out.,5,5,5,Excellent match to source color and shape; strong impressionistic brushwork without artifacts.,3,2,2,Some impressionistic smudging but structure is blurred and artifacts (noise/bleeding) are visible.
Ukiyo_e__kitagawa-utamaro_upon-my-oath__to__Ukiyo_e,Ukiyo_e,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very faint, washed-out output; lacks color and texture of Ukiyo-e; structure is preserved but overly blurred.",5,5,5,"Excellent match to Ukiyo-e style with rich colors, bold lines, and traditional patterns; structure perfectly preserved; no visible artifacts.",3,4,3,Moderate style transfer with some color and line work; structure is mostly intact but slightly softened; minor smudging artifacts present.
