case_id,src_style,tgt_style,best_overall,best_style_specificity,best_structure,best_artifact_control,confidence_1_to_5,LBM-PS-v2_e13_style_specificity,LBM-PS-v2_e13_structure_preservation,LBM-PS-v2_e13_artifact_control,LBM-PS-v2_e13_note,Seedream_repaired750_style_specificity,Seedream_repaired750_structure_preservation,Seedream_repaired750_artifact_control,Seedream_repaired750_note,SaMST_e15_style_specificity,SaMST_e15_structure_preservation,SaMST_e15_artifact_control,SaMST_e15_note,SaMAM_2250_style_specificity,SaMAM_2250_structure_preservation,SaMAM_2250_artifact_control,SaMAM_2250_note
Minimalism__john-mclaughlin_number-13-1973__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Blurred and indistinct; minimal stylistic transfer, structure partially preserved but heavily degraded by blur artifacts.",5,5,5,"Excellent Early Renaissance style match with clear facial features, period-appropriate lighting and texture, and no visible artifacts.",3,2,1,"Strong color and texture hints of Renaissance style, but severe structural distortion and large white artifact block ruin coherence.",1,1,1,"Nearly black output with only a white bar; no style or structure transferred, complete failure."
Minimalism__john-mclaughlin_number-13-1973__to__Impressionism,Minimalism,Impressionism,SaMST_e15,SaMST_e15,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Blurred and muddy; lacks clear Impressionist brushwork or color vibrancy.,3,5,5,"Clean structure and minimal artifacts, but style is subdued and underdeveloped.",5,3,3,Strong Impressionist palette and texture; some structural distortion and minor artifacts.,1,4,4,Preserves structure well but fails to convey any Impressionist style; overly flat.
Minimalism__john-mclaughlin_number-13-1973__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly blurred and washed out; loses minimalism’s crispness and contrast.,5,5,5,"Clean, high-contrast, geometrically faithful; embodies minimalism perfectly.",1,2,1,"Textured, noisy, and chaotic; completely diverges from minimalism.",4,4,4,Good minimalism with clean edges and contrast; slightly less refined than D.
Minimalism__john-mclaughlin_number-13-1973__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Very blurry, minimal Rococo detail; structure partially preserved but heavily degraded.",5,5,5,Strong Rococo ornamental frame with clear structure and no visible artifacts.,3,4,3,Some Rococo texture present but muddy; structure mostly intact with minor noise.,1,2,1,"Nearly blank output; no style or structure transferred, severe artifact loss."
Minimalism__john-mclaughlin_number-13-1973__to__Ukiyo_e,Minimalism,Ukiyo_e,SaMST_e15,SaMST_e15,Seedream_repaired750,Seedream_repaired750,4,2,2,2,Extremely blurred; no discernible Ukiyo-e features or structure.,3,5,5,Cleanest output; preserves source structure perfectly but lacks strong Ukiyo-e stylistic elements.,5,3,3,"Strongest Ukiyo-e style with visible wave patterns and color palette, but introduces artifacts and distorts the source structure.",1,1,1,Almost entirely black; fails to apply style or preserve structure.
Minimalism__john-mclaughlin_number-4__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and indistinct; fails to convey Early Renaissance style or preserve structure.,5,5,5,"Excellent match to target style with clear figure, warm palette, and clean rendering; no artifacts.",3,2,2,Textured but abstract; loses structural clarity and introduces noise-like artifacts.,1,1,1,Minimal content; appears as color blocks with no stylistic or structural fidelity.
Minimalism__john-mclaughlin_number-4__to__Impressionism,Minimalism,Impressionism,SaMST_e15,SaMST_e15,Seedream_repaired750,Seedream_repaired750,4,2,2,2,Extremely blurry and lacks any discernible Impressionist texture or structure.,3,5,5,Perfectly preserves the source structure with clean color blocks; style is minimal but artifact-free.,5,3,3,"Strongest Impressionist texture and color application, though it introduces some noise and slight structural distortion.",2,4,4,"Preserves structure well with smooth gradients, but lacks the characteristic brushwork of Impressionism."
Minimalism__john-mclaughlin_number-4__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,4,Overly blurred; loses minimalism’s crispness and color fidelity.,5,5,5,"Perfectly captures minimalism: clean geometry, solid color blocks, no artifacts.",3,2,3,Introduces unwanted texture; distorts original structure and style intent.,4,4,4,Good minimalism but slightly muted colors and less sharp edges than D.
Minimalism__john-mclaughlin_number-4__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,Very blurry and indistinct; minimal Rococo detail or ornamentation preserved.,5,5,5,Excellent Rococo ornamental framing with clear structure and no visible artifacts.,3,4,4,Textured but lacks distinct Rococo motifs; some structural clarity but muted style.,1,2,4,"Overly simplified color blocks; no Rococo elements, though clean edges."
Minimalism__john-mclaughlin_number-4__to__Ukiyo_e,Minimalism,Ukiyo_e,LBM-PS-v2_e13,LBM-PS-v2_e13,LBM-PS-v2_e13,LBM-PS-v2_e13,4,4,5,5,Strong Ukiyo-e color palette and soft brush-like texture; preserves source structure well with minimal artifacts.,3,4,4,Moderate Ukiyo-e feel with flat color blocks; structure mostly preserved but lacks fine stylistic detail.,2,3,2,"Heavy noise and grain obscure style and structure; artifacts dominate, poor Ukiyo-e resemblance.",3,4,3,"Clean color blocks suggest Ukiyo-e influence but lack texture; minor artifacts at edges, structure intact."
Minimalism__judy-chicago_morning-fan-1971__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,2,2,Extremely blurry and washed out; fails to capture Renaissance texture or structure.,5,5,5,"Excellent preservation of vertical structure with strong, coherent Early Renaissance color palette and texture.",3,3,3,Shows some texture but structure is fragmented and colors are muddy compared to target.,4,4,4,"Good structure and color, but slightly less textured and refined than D."
Minimalism__judy-chicago_morning-fan-1971__to__Impressionism,Minimalism,Impressionism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,2,2,2,Overly blurred; loses both structure and stylistic detail.,4,3,3,Strong impressionistic texture but introduces color bleeding and structural distortion.,3,3,3,Moderate style transfer with visible blocky artifacts and uneven brushwork.,5,5,5,"Clean impressionistic strokes, preserves vertical structure, minimal artifacts."
Minimalism__judy-chicago_morning-fan-1971__to__Minimalism,Minimalism,Minimalism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,2,3,4,Overly blurred; minimalism implied but lacks clarity and structure.,3,4,3,Colorful and structured but too vibrant for minimalism; some gradient artifacts.,2,2,2,Text-heavy and cluttered; fails to convey minimalism or preserve source structure.,5,5,5,"Clean, muted tones with clear vertical structure; best embodies minimalism while preserving source layout."
Minimalism__judy-chicago_morning-fan-1971__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,SaMAM_2250,4,2,5,3,Preserves source structure well but lacks Rococo ornamental detail; heavy blur reduces style fidelity.,5,4,4,Strong Rococo framing and decorative motifs; maintains core structure with minor edge artifacts.,3,3,2,Textural noise dominates; partial Rococo feel but poor artifact control and structural distortion.,3,4,5,Cleanest output with minimal artifacts; moderate Rococo influence via color palette and soft gradients.
Minimalism__judy-chicago_morning-fan-1971__to__Ukiyo_e,Minimalism,Ukiyo_e,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,2,2,1,Extremely blurred; no discernible style or structure.,4,4,3,Good Ukiyo-e color blocks and structure; minor vertical artifacts.,3,3,2,Textured but noisy; weak style and structure fidelity.,5,5,4,Strong Ukiyo-e palette and clean vertical structure; slight edge smearing.
Minimalism__mira-schendel_untitled-1984__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,2,3,Blurred and indistinct; lacks clear Renaissance stylistic markers and structural fidelity.,5,5,5,"Strong Early Renaissance portraiture style with accurate anatomy, drapery, and warm palette; clean output.",3,2,2,Abstract texture overlay obscures structure; partial stylistic hints but noisy and inconsistent.,2,1,3,Uniform orange texture dominates; no discernible structure or Renaissance style; overly simplistic.
Minimalism__mira-schendel_untitled-1984__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,"Extremely blurry, no discernible structure or style; appears as a smeared blob.",5,5,5,"Strong Impressionist brushwork, clear portrait structure, minimal artifacts; best overall match.",3,2,3,Abstract color fields with some texture but lacks coherent structure; moderate artifacts.,2,1,2,Uniform orange texture with no structural detail or stylistic nuance; overly simplistic.
Minimalism__mira-schendel_untitled-1984__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,3,"Overly blurred, loses all structure and minimalism intent; appears as noise.",5,5,5,"Perfectly captures minimalism: solid color field, clean edges, no artifacts, preserves source structure.",1,2,2,Introduces textural noise and pattern; contradicts minimalism; poor structure retention.,4,4,4,"Good minimalism with solid color, but slight gradient/edge artifact reduces perfection vs D."
Minimalism__mira-schendel_untitled-1984__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,LBM-PS-v2_e13,4,2,5,5,Preserves source structure perfectly but lacks Rococo ornamental detail; appears as a blurred orange gradient.,5,3,3,Strongly captures Rococo texture and gilded frame aesthetics; introduces some noise and structural distortion.,3,2,2,Shows partial Rococo texture but with heavy artifacts and loss of original structure; overly dark and noisy.,1,5,5,Nearly identical to source with no stylistic transfer; perfect structure and artifact control but zero Rococo influence.
Minimalism__mira-schendel_untitled-1984__to__Ukiyo_e,Minimalism,Ukiyo_e,SaMAM_2250,SaMAM_2250,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Extremely blurred; no discernible Ukiyo-e features or structure.,3,5,5,Clean gradient with subtle texture; preserves source structure well but lacks strong Ukiyo-e motifs.,2,2,2,Heavy noise and grain obscure both style and structure; poor artifact control.,5,4,4,Strong Ukiyo-e paper texture and warm tones; slight over-saturation but clear stylistic intent and preserved structure.
Minimalism__pino-pinelli_pittura-r-1993__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very blurry and indistinct; style is lost in noise, structure partially preserved but degraded.",5,5,5,"Clean, faithful reproduction of source structure with subtle Early Renaissance tonal warmth and texture; minimal artifacts.",3,4,3,Structure mostly intact but overlaid with purple/pink haze; style hint present but noisy and inconsistent.,4,4,4,Good structural fidelity and mild Renaissance-like color grading; slight softness but clean overall.
Minimalism__pino-pinelli_pittura-r-1993__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Extremely blurred; no discernible style or structure preserved.,5,5,5,"Strong Impressionist brushwork, clear structure retention, minimal artifacts.",4,4,3,"Good style and structure, but slight color bleeding and texture noise.",3,4,4,"Moderate style application, good structure, minor edge smudging."
Minimalism__pino-pinelli_pittura-r-1993__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very faint, washed-out output; minimal style transfer and poor contrast.",5,5,5,"Clean, crisp red shapes on neutral background; strong minimalism with no artifacts.",3,4,3,Textured background introduces noise; structure preserved but style diluted.,4,5,4,"Good structure and clean style, but slightly muted color reduces impact."
Minimalism__pino-pinelli_pittura-r-1993__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,2,2,1,Highly blurred and indistinct; no clear Rococo elements or structure retained.,5,4,3,Strong Rococo ornamental frame and color palette; structure mostly preserved with minor edge artifacts.,3,3,2,"Some Rococo texture and warm tones applied, but structure is distorted and artifacts visible.",3,5,5,Excellent structural fidelity and clean output; style transfer is subtle and lacks strong Rococo markers.
Minimalism__pino-pinelli_pittura-r-1993__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,2,1,Extremely blurry; no discernible Ukiyo-e style or structure preserved.,5,5,5,"Strong Ukiyo-e aesthetic with clean lines, appropriate color palette, and perfect structural fidelity to source.",3,4,3,Shows some stylization but introduces noise and texture artifacts; structure mostly intact.,4,4,4,Good style transfer with minor color bleeding and slight edge distortion; overall clean.
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very faded, low contrast; style is ambiguous and lacks Renaissance detail. Structure is preserved but blurred. Heavy artifacts from over-smoothing.",5,5,5,"Strong Early Renaissance style with clear chiaroscuro, ornate framing, and classical motifs. Structure is perfectly preserved. No visible artifacts.",3,4,2,Some stylistic elements present but overly saturated and glowing. Structure is mostly intact. Significant haloing and color bleeding artifacts.,4,5,4,"Good stylistic rendering with decorative elements and muted tones. Structure is well preserved. Minor softness and slight color shift, but clean overall."
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Impressionism,Minimalism,Impressionism,SaMAM_2250,SaMST_e15,SaMAM_2250,SaMAM_2250,4,2,1,1,Extremely blurred; no discernible structure or style detail.,3,4,4,Good structure and low artifacts; mild impressionistic texture.,5,3,3,Strongest Impressionist color and brushwork; some structural softening.,4,5,5,"Best balance: clear structure, minimal artifacts, subtle Impressionist feel."
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Minimalism,Minimalism,Minimalism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,2,1,1,Overly blurred and washed out; minimalism lost in noise.,3,4,3,Clean geometric abstraction but lacks source object identity.,2,2,2,Textured overlay obscures form; style not clearly minimal.,5,5,5,"Perfectly preserves source structure with clean, restrained minimal aesthetic."
Minimalism__richard-tuttle_relative-to-our-society-1990__to__Ukiyo_e,Minimalism,Ukiyo_e,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,2,3,2,Very blurry and washed out; minimal Ukiyo-e texture or line work; structure barely preserved.,3,4,3,Soft gradient background hints at Ukiyo-e atmosphere but lacks ink lines and woodblock texture; structure mostly intact.,3,3,2,Textured background suggests brushwork but distorts object shapes; some structural warping and noise artifacts.,5,5,5,"Strong Ukiyo-e ink-line aesthetic with clean edges, stylized shading, and faithful preservation of source geometry; no visible artifacts."
Minimalism__robert-mangold_ellow-black-zone-painting-iv-1996__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,Very blurry and indistinct; fails to convey Early Renaissance texture or form.,5,5,5,Excellent preservation of arch structure and color blocks; subtle parchment-like texture evokes Early Renaissance manuscript style without artifacts.,3,2,3,Overly textured and noisy; structure is obscured by excessive grain and color bleeding.,4,4,4,Clean and structurally faithful; slight paper texture adds Renaissance feel but less nuanced than D.
Minimalism__robert-mangold_ellow-black-zone-painting-iv-1996__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Extremely blurred and abstract; loses all structural detail and shows no clear impressionistic brushwork or color application.,5,5,5,"Strong impressionistic texture with visible brushstroke-like patterns, preserves original shape and black stripe clearly, minimal artifacts.",4,3,3,"Shows textured, painterly effect but introduces color noise and slight distortion; structure is partially preserved but less clean than D.",3,4,4,"Preserves structure well with subtle texture, but lacks strong impressionistic brushwork; appears more stylized than painterly."
Minimalism__robert-mangold_ellow-black-zone-painting-iv-1996__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,4,Overly blurred and washed out; loses geometric clarity and minimalism intent.,5,5,5,"Clean, bold minimalism with sharp edges and faithful structure; no artifacts.",1,2,3,Textured noise dominates; fails to convey minimalism or preserve structure.,4,4,4,"Good minimalism and structure, but slightly softer edges than D; minor texture variation."
Minimalism__robert-mangold_ellow-black-zone-painting-iv-1996__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,LBM-PS-v2_e13,LBM-PS-v2_e13,4,2,5,5,Minimal Rococo styling; preserves source structure perfectly with no artifacts.,5,3,3,Strong Rococo ornamental style applied; structure partially distorted; minor artifacts in texture blending.,3,2,2,Weak Rococo interpretation; heavy structural distortion and visible artifacts.,1,4,5,No Rococo style applied; clean structure preservation with zero artifacts.
Minimalism__robert-mangold_ellow-black-zone-painting-iv-1996__to__Ukiyo_e,Minimalism,Ukiyo_e,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,5,2,3,2,Blurred and indistinct; lacks Ukiyo_e texture or line quality; structure barely preserved.,4,4,4,Good Ukiyo_e line work and color blocking; minor artifacts in gradient transitions.,3,3,2,Textured but noisy; structure distorted; Ukiyo_e feel present but inconsistent.,5,5,5,Clean Ukiyo_e aesthetic with bold flat colors and crisp edges; structure perfectly preserved; no visible artifacts.
Minimalism__robert-mangold_untitled-fcpa-1995__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Very washed out, lacks Renaissance texture and color depth; structure is preserved but style is weak.",5,5,5,Excellent match to Early Renaissance palette and texture; structure perfectly preserved with no artifacts.,4,4,4,"Good style transfer with visible texture, but slightly darker and less refined than D; minor structural softness.",3,4,3,Strong color contrast but overly saturated and unnatural tones; structure intact but style feels modern rather than Renaissance.
Minimalism__robert-mangold_untitled-fcpa-1995__to__Impressionism,Minimalism,Impressionism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,"Overly blurred, lacks Impressionist brushwork; structure partially preserved but style is vague.",5,5,5,Strong Impressionist texture and color blending; source structure clearly retained with minimal artifacts.,4,4,3,Good stylistic emulation with visible brushstroke patterns; slight color bleeding and edge softening reduce artifact control.,3,4,4,Moderate Impressionist feel with muted tones; structure well preserved but style less distinct than D or E.
Minimalism__robert-mangold_untitled-fcpa-1995__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,3,"Overly blurred, loses color and texture; minimalism not clearly expressed.",5,5,5,"Clean gradient, preserves shape and lines, no artifacts — ideal minimalism.",1,2,2,Textured noise dominates; structure and style both degraded.,3,4,4,Muted tones preserve structure but lack crisp minimalism; slight color bleed.
Minimalism__robert-mangold_untitled-fcpa-1995__to__Ukiyo_e,Minimalism,Ukiyo_e,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Very blurry and lacks Ukiyo-e texture; structure is partially preserved but heavily degraded by noise.,5,5,5,Excellent Ukiyo-e style with clean lines and paper texture; perfectly preserves source geometry and color gradients without artifacts.,4,4,3,Strong Ukiyo-e woodblock texture and color; structure is well-preserved but has slight edge distortion and minor noise.,3,4,4,"Moderate Ukiyo-e feel with blue tones; structure is intact but style is less authentic than D or E, with some color banding."
Minimalism__robert-morris_box-with-the-sound-of-its-own-making-1961__to__Early_Renaissance,Minimalism,Early_Renaissance,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,2,3,2,"Very blurry and indistinct; style is vague, structure is partially preserved but degraded, artifacts from diffusion noise are prominent.",3,4,4,Moderate Early Renaissance feel with warm tones and soft edges; structure is well preserved; minimal artifacts.,4,3,3,"Strong stylistic elements (ornate top, textured base) but structure is distorted; some artifacts in texture blending.",5,5,5,Excellent match to Early Renaissance style with rich colors and chiaroscuro; structure perfectly preserved; no visible artifacts.
Minimalism__robert-morris_box-with-the-sound-of-its-own-making-1961__to__Impressionism,Minimalism,Impressionism,SaMAM_2250,SaMAM_2250,SaMAM_2250,SaMAM_2250,4,2,1,1,"Extremely blurred; structure lost, no clear impressionist brushwork or color application.",3,4,3,Moderate impressionist texture and color blending; structure mostly preserved with minor softening artifacts.,4,3,3,Strong impressionist palette and visible brushstroke-like textures; some color bleeding and edge distortion on cube.,5,5,5,Excellent impressionist style with rich color transitions and textured strokes; cube structure perfectly preserved with clean edges and no artifacts.
Minimalism__robert-morris_box-with-the-sound-of-its-own-making-1961__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,1,1,"Overly blurred, loses all structural and stylistic fidelity.",5,5,5,"Clean minimalism, preserves structure perfectly, no artifacts.",3,3,3,Sketchy style introduces noise; structure partially preserved.,4,4,4,"Good minimalism and structure, slight color shift but clean."
Minimalism__robert-morris_box-with-the-sound-of-its-own-making-1961__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,2,2,2,Very blurry and indistinct; minimal Rococo detail or structure retained.,5,4,3,Strong Rococo ornamental framing and color palette; structure mostly preserved with slight softening.,4,4,4,Good Rococo texture and framing; clean edges and well-preserved geometry.,3,5,5,Minimal style transfer but excellent structural fidelity and no artifacts; lacks Rococo embellishment.
Minimalism__robert-morris_box-with-the-sound-of-its-own-making-1961__to__Ukiyo_e,Minimalism,Ukiyo_e,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,2,3,2,"Very blurry and indistinct; minimal Ukiyo-e features, heavy artifacts, structure barely preserved.",3,5,4,"Clean structure, subtle wood-grain texture hints at style but lacks strong Ukiyo-e motifs; low artifacts.",4,4,3,Strong Ukiyo-e pattern overlay with visible borders; structure mostly intact but slight misalignment and edge artifacts.,5,4,5,Clear Ukiyo-e woodblock aesthetic with clean edges and no visible artifacts; structure well preserved with minor color shift.
Minimalism__robert-ryman_conversion-2003__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,SaMST_e15,Seedream_repaired750,Seedream_repaired750,5,2,2,2,Severe blurring and loss of detail; style is vague and muddy.,4,5,5,"Excellent preservation of source structure with clean, subtle Early Renaissance color palette and no artifacts.",5,3,3,"Strongest stylistic texture and color match, but introduces visible artifacts and distorts the original structure.",3,5,5,"Perfect structure and artifact control, but style application is too faint and lacks the richness of the target."
Minimalism__robert-ryman_conversion-2003__to__Impressionism,Minimalism,Impressionism,SaMST_e15,SaMST_e15,Seedream_repaired750,Seedream_repaired750,4,2,3,3,"Blurred, lacks impressionist brushwork; structure partially preserved but overly smoothed.",1,5,5,"Nearly identical to source; no style transfer applied, perfect structure and artifact control.",5,2,2,Strong impressionist color and texture; structure heavily distorted with noise-like artifacts.,1,5,5,"Identical to source; no stylistic change, flawless structure and artifact control."
Minimalism__robert-ryman_conversion-2003__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,4,"Very faint, almost blank; minimal style transfer but preserves structure well with low artifacts.",5,5,5,"Clean, uniform beige tone matching minimalism; perfectly preserves source structure with no visible artifacts.",3,2,2,"Textured, noisy output; partially captures minimalism but distorts structure and introduces artifacts.",4,4,4,Soft greenish-beige tone fits minimalism; preserves structure with minor color shift and negligible artifacts.
Minimalism__robert-ryman_conversion-2003__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,2,3,2,"Blurred, indistinct Rococo elements; poor structure and heavy artifacts.",5,5,5,"Clear, ornate Rococo frame with precise structure and no visible artifacts.",3,2,2,"Muddy texture suggests Rococo but lacks clarity; structure distorted, artifacts present.",1,4,5,"Nearly identical to source; no style transfer evident, though clean and artifact-free."
Minimalism__robert-ryman_conversion-2003__to__Ukiyo_e,Minimalism,Ukiyo_e,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,2,1,2,"Blurred, indistinct; minimal Ukiyo_e traits and structure loss.",3,5,4,"Clean, preserves source structure well; subtle Ukiyo_e hints.",4,2,2,Strong Ukiyo_e texture but noisy and structure-distorted.,5,4,5,"Best balance: clear Ukiyo_e palette, clean edges, minimal artifacts."
Minimalism__robert-ryman_surface-veil-1970__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Very blurry and lacks Renaissance detail; structure is preserved but style is weak and noisy.,5,5,5,"Excellent match to Early Renaissance panel style with clear borders, aged texture, and faithful structure preservation.",3,4,3,Shows some Renaissance framing and color but has heavy noise and distortion; structure is somewhat preserved.,4,4,4,Good stylistic resemblance with clean edges and aged paper look; minor artifacts but overall strong performance.
Minimalism__robert-ryman_surface-veil-1970__to__Impressionism,Minimalism,Impressionism,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,2,2,1,"Overly blurred, lacks Impressionist brushwork and color; structure nearly lost.",3,5,4,Preserves source structure well; mild Impressionist texture but low color vibrancy.,4,3,3,Strong Impressionist palette and texture; some structural distortion and edge artifacts.,5,4,5,Excellent Impressionist brushwork and color harmony; clean edges and minimal artifacts.
Minimalism__robert-ryman_surface-veil-1970__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,4,Overly blurred and lacks minimalism; structure preserved but style too vague.,5,5,5,"Clean, geometric, and faithful to minimalism; preserves structure and has no artifacts.",3,4,3,Has grid-like texture that detracts from minimalism; some artifacts present.,4,4,4,Soft and minimal but slightly washed out; minor artifacts in texture.
Minimalism__robert-ryman_surface-veil-1970__to__Rococo,Minimalism,Rococo,Seedream_repaired750,Seedream_repaired750,SaMAM_2250,SaMAM_2250,4,2,2,2,Very blurry and indistinct; minimal Rococo detail or structure preserved.,5,4,3,Strong Rococo ornamental frame and color palette; slight softening of edges but overall faithful to style.,3,3,3,Some Rococo framing elements present but muted; texture appears noisy and structure slightly distorted.,3,5,5,Excellent preservation of original document structure and clean edges; minimal Rococo styling applied.
Minimalism__robert-ryman_surface-veil-1970__to__Ukiyo_e,Minimalism,Ukiyo_e,SaMAM_2250,SaMAM_2250,Seedream_repaired750,SaMAM_2250,4,2,2,2,"Very blurry and indistinct; minimal Ukiyo-e traits, poor structure, heavy artifacts.",3,5,4,Clean parchment-like texture with subtle ink wash hints; preserves source layout well; minor stylistic ambiguity.,4,3,3,Strong Ukiyo-e color palette and brushstroke feel; structure distorted by heavy texture; some blotchy artifacts.,5,4,5,Clear Ukiyo-e aesthetic with layered ink washes and paper texture; maintains source framing; cleanest output overall.
Minimalism__ronald-davis_zig-zag-times-two-1966__to__Early_Renaissance,Minimalism,Early_Renaissance,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,5,1,2,1,Severely blurred; no stylistic or structural fidelity.,5,5,5,"Clean, sharp, faithful to source geometry and target style.",3,4,3,"Textured but noisy; structure intact, style partially applied.",2,4,4,"Flat color with minor artifacts; structure preserved, style weak."
Minimalism__ronald-davis_zig-zag-times-two-1966__to__Impressionism,Minimalism,Impressionism,SaMST_e15,SaMST_e15,Seedream_repaired750,Seedream_repaired750,4,2,1,1,Severely blurred; no impressionistic texture or brushwork visible; structure completely lost.,3,5,5,Clean geometry preserved; minimal stylistic impressionism applied; mostly faithful to source shape with subtle color shifts.,5,4,4,Strong impressionistic texture and color blending; structure slightly distorted but still recognizable; minor edge artifacts.,2,5,5,Preserves structure perfectly; lacks any impressionistic style — appears as a flat gradient or metallic finish.
Minimalism__ronald-davis_zig-zag-times-two-1966__to__Minimalism,Minimalism,Minimalism,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,Seedream_repaired750,4,2,3,2,Overly blurred and washed out; loses both style and structure.,5,5,5,Perfectly preserves zigzag structure with clean minimalism and no artifacts.,3,4,3,Structure preserved but texture introduces noise; style is diluted.,4,4,4,Clean and minimal but slightly muted; minor loss in vibrancy and edge sharpness.
